startsecond	text
0	Translator: Morton Bast
0	Reviewer: Thu-Huong Ha
15.766	So, how many of you have ever
17.173	gotten behind the wheel of a car
18.828	when you really shouldn't have been driving?
24.515	Maybe you're out on the road for a long day,
26.42	and you just wanted to get home.
27.91	You were tired, but you felt you could drive a few more miles.
30.557	Maybe you thought,
31.756	I've had less to drink than everybody else,
33.773	I should be the one to go home.
35.509	Or maybe your mind was just entirely elsewhere.
40.1	Does this sound familiar to you?
41.554	Now, in those situations, wouldn't it be great
44.452	if there was a button on your dashboard
46.045	that you could push, and the car would get you home safely?
52.388	Now, that's been the promise of the self-driving car,
54.681	the autonomous vehicle, and it's been the dream
57.308	since at least 1939, when General Motors showcased
60.557	this idea at their Futurama booth at the World's Fair.
63.859	Now, it's been one of those dreams
65.802	that's always seemed about 20 years in the future.
70.016	Now, two weeks ago, that dream took a step forward,
72.699	when the state of Nevada granted Google's self-driving car
75.964	the very first license for an autonomous vehicle,
79.564	clearly establishing that it's legal for them
81.809	to test it on the roads in Nevada.
83.619	Now, California's considering similar legislation,
87.346	and this would make sure that the autonomous car
89.754	is not one of those things that has to stay in Vegas.
92.731	(Laughter)
94.827	Now, in my lab at Stanford, we've been working on
98.611	autonomous cars too, but with a slightly different spin
102.098	on things. You see, we've been developing robotic race cars,
106.346	cars that can actually push themselves to the very limits
110.466	of physical performance.
112.706	Now, why would we want to do such a thing?
115.319	Well, there's two really good reasons for this.
117.419	First, we believe that before people turn over control
121.378	to an autonomous car, that autonomous car should be
124.212	at least as good as the very best human drivers.
127.466	Now, if you're like me, and the other 70 percent of the population
130.771	who know that we are above-average drivers,
132.964	you understand that's a very high bar.
136.139	There's another reason as well.
138.531	Just like race car drivers can use all of the friction
142.107	between the tire and the road,
143.387	all of the car's capabilities to go as fast as possible,
146.564	we want to use all of those capabilities to avoid
149.909	any accident we can.
151.497	Now, you may push the car to the limits
153.547	not because you're driving too fast,
155.514	but because you've hit an icy patch of road,
157.674	conditions have changed.
159.378	In those situations, we want a car
162.139	that is capable enough to avoid any accident
165.859	that can physically be avoided.
168.537	I must confess, there's kind of a third motivation as well.
172.804	You see, I have a passion for racing.
175.06	In the past, I've been a race car owner,
177.824	a crew chief and a driving coach,
180.379	although maybe not at the level that you're currently expecting.
184.234	One of the things that we've developed in the lab --
186.938	we've developed several vehicles --
188.642	is what we believe is the world's first
190.877	autonomously drifting car.
193.242	It's another one of those categories
195.755	where maybe there's not a lot of competition.
198.178	(Laughter)
199.586	But this is P1. It's an entirely student-built electric vehicle,
203.408	which through using its rear-wheel drive
205.486	and front-wheel steer-by-wire
207.051	can drift around corners.
209.118	It can get sideways like a rally car driver,
211.318	always able to take the tightest curve,
213.033	even on slippery, changing surfaces,
216.337	never spinning out.
217.953	We've also worked with Volkswagen Oracle,
220.321	on Shelley, an autonomous race car that has raced
223.745	at 150 miles an hour through the Bonneville Salt Flats,
226.815	gone around Thunderhill Raceway Park in the sun,
231.286	the wind and the rain,
233.925	and navigated the 153 turns and 12.4 miles
238.943	of the Pikes Peak Hill Climb route
240.505	in Colorado with nobody at the wheel.
243.978	(Laughter)
245.426	(Applause)
