startsecond	text
12.76	I want to talk to you
12.76	about the future of medicine.
16.96	But before I do that, I want to talk
16.96	a little bit about the past.
21.08	Now, throughout much
21.08	of the recent history of medicine,
24.72	we've thought about illness and treatment
28.56	in terms of a profoundly simple model.
31.96	In fact, the model is so simple
34.68	that you could summarize it in six words:
37.76	have disease, take pill, kill something.
43.08	Now, the reason
43.08	for the dominance of this model
47.84	is of course the antibiotic revolution.
50.48	Many of you might not know this,
50.48	but we happen to be celebrating
53.68	the hundredth year of the introduction
53.68	of antibiotics into the United States.
57.76	But what you do know
59.4	is that that introduction
59.4	was nothing short of transformative.
64.88	Here you had a chemical,
64.88	either from the natural world
68.76	or artificially synthesized
68.76	in the laboratory,
71.52	and it would course through your body,
74.8	it would find its target,
77.6	lock into its target --
79.28	a microbe or some part of a microbe --
81.52	and then turn off a lock and a key
85.96	with exquisite deftness,
85.96	exquisite specificity.
89.52	And you would end up taking
89.52	a previously fatal, lethal disease --
93.84	a pneumonia, syphilis, tuberculosis --
97	and transforming that
97	into a curable, or treatable illness.
102.08	You have a pneumonia,
104.48	you take penicillin,
105.88	you kill the microbe
107.44	and you cure the disease.
109.6	So seductive was this idea,
112.56	so potent the metaphor of lock and key
116.76	and killing something,
118.32	that it really swept through biology.
120.36	It was a transformation like no other.
124.16	And we've really spent the last 100 years
127.36	trying to replicate that model
127.36	over and over again
130.84	in noninfectious diseases,
132.103	in chronic diseases like diabetes
132.103	and hypertension and heart disease.
137.12	And it's worked,
137.12	but it's only worked partly.
141.12	Let me show you.
142.8	You know, if you take the entire universe
145.72	of all chemical reactions
145.72	in the human body,
149.24	every chemical reaction
149.24	that your body is capable of,
152.56	most people think that that number
152.56	is on the order of a million.
155.6	Let's call it a million.
156.92	And now you ask the question,
158.64	what number or fraction of reactions
161.32	can actually be targeted
163.16	by the entire pharmacopoeia,
163.16	all of medicinal chemistry?
168	That number is 250.
171.68	The rest is chemical darkness.
174.24	In other words, 0.025 percent
174.24	of all chemical reactions in your body
180.44	are actually targetable
180.44	by this lock and key mechanism.
185.68	You know, if you think
185.68	about human physiology
188.76	as a vast global telephone network
192.24	with interacting nodes
192.24	and interacting pieces,
196.6	then all of our medicinal chemistry
199.8	is operating on one tiny corner
202.08	at the edge, the outer edge,
202.08	of that network.
204.8	It's like all of our
204.8	pharmaceutical chemistry
208.64	is a pole operator in Wichita, Kansas
212.44	who is tinkering with about
216.88	So what do we do about this idea?
220.16	What if we reorganized this approach?
224.08	In fact, it turns out
224.08	that the natural world
227.48	gives us a sense of how one
227.48	might think about illness
232.56	in a radically different way,
234.24	rather than disease, medicine, target.
239.08	In fact, the natural world
239.08	is organized hierarchically upwards,
242.48	not downwards, but upwards,
244.36	and we begin with a self-regulating,
244.36	semi-autonomous unit called a cell.
251.64	These self-regulating,
251.64	semi-autonomous units
254.88	give rise to self-regulating,
254.88	semi-autonomous units called organs,
259.72	and these organs coalesce
259.72	to form things called humans,
263.92	and these organisms
263.92	ultimately live in environments,
267.84	which are partly self-regulating
267.84	and partly semi-autonomous.
272.92	What's nice about this scheme,
272.92	this hierarchical scheme
275.76	building upwards rather than downwards,
278.48	is that it allows us
278.48	to think about illness as well
281.88	in a somewhat different way.
284.4	Take a disease like cancer.
288.12	Since the 1950s,
289.44	we've tried rather desperately to apply
289.44	this lock and key model to cancer.
294.991	We've tried to kill cells
297.905	using a variety of chemotherapies 
297.905	or targeted therapies,
302.276	and as most of us know, that's worked.
304.72	It's worked for diseases like leukemia.
306.602	It's worked for some forms
306.602	of breast cancer,
309	but eventually you run
309	to the ceiling of that approach.
312.76	And it's only in the last 10 years or so
315.28	that we've begun to think
315.28	about using the immune system,
318.44	remembering that in fact the cancer cell
318.44	doesn't grow in a vacuum.
321.56	It actually grows in a human organism.
323.64	And could you use the organismal capacity,
325.96	the fact that human beings
325.96	have an immune system, to attack cancer?
329.127	In fact, it's led to the some of the most
329.127	spectacular new medicines in cancer.
334.48	And finally there's the level
334.48	of the environment, isn't there?
338.16	You know, we don't think of cancer
338.16	as altering the environment.
341.16	But let me give you an example
341.16	of a profoundly carcinogenic environment.
346.08	It's called a prison.
348.16	You take loneliness, you take depression,
348.16	you take confinement,
353.32	and you add to that,
355.4	rolled up in a little
355.4	white sheet of paper,
359	one of the most potent neurostimulants
359	that we know, called nicotine,
362.8	and you add to that one of the most potent
362.8	addictive substances that you know,
367.76	and you have
367.76	a pro-carcinogenic environment.
371.52	But you can have anti-carcinogenic
371.52	environments too.
