startsecond	text
12.61	What do you do if you had
12.61	to figure out the information
15.29	behind 11.5 million documents,
17.715	verify it and make sense of it?
20.15	That was a challenge
21.326	that a group of journalists
21.326	had to face late last year.
24.662	An anonymous person
24.662	calling himself John Doe
28.122	had somehow managed to copy
28.122	nearly 40 years of records
31.198	of the Panamanian law firm
31.198	Mossack Fonseca.
35.317	This is one of many firms around the world
38.031	that specialize in setting up accounts
38.031	in offshore tax havens
41.586	like the British Virgin Islands,
43.61	for rich and powerful people
43.61	who like to keep secrets.
48.195	John Doe had managed to copy
48.195	every spreadsheet from this firm,
51.757	every client file,
53.375	every email,
55.098	from 1977 to the present day.
58.912	It represented the biggest cache
61.251	of inside information
61.251	into the tax haven system
64.061	that anyone had ever seen.
66.092	But it also presented a gigantic challenge
66.092	to investigative journalism.
71.87	Think about it:
76.335	containing the secrets of people
76.335	from more than 200 different countries.
80.449	Where do you start
80.449	with such a vast resource?
82.95	Where do you even begin to tell a story
85.053	that can trail off
85.053	into every corner of the globe,
88.367	and that can affect almost
88.367	any person in any language,
91.436	sometimes in ways
91.436	they don't even know yet.
94.513	John Doe had given the information
94.513	to two journalists
97.039	at the German newspaper
97.039	Süddeutsche Zeitung.
100.562	He said he was motivated
100.562	by -- and I quote --
103.82	"""The scale of the injustice"
103.82	"that the documents would reveal."""
108.401	But one user alone can never make sense
110.408	of such a vast amount of information.
112.362	So the Süddeutsche Zeitung reached out
114.248	to my organization in Washington, DC,
117.016	The International Consortium
117.016	of Investigative Journalists.
121.926	We decided to do something
121.926	that was the very opposite
124.524	of everything we'd been taught
124.524	to do as journalists:
127.289	share.
128.468	(Laughter)
130.324	By nature, investigative
130.324	reporters are lone wolves.
134.002	We fiercely guard our secrets,
135.855	at times even from our editors,
137.413	because we know that the moment
137.413	we tell them what we have,
140.297	they'll want that story right away.
142.691	And to be frank,
144.607	when you get a good story,
146.053	you like to keep the glory to yourself.
149.733	But there's no doubt
149.733	that we live in a shrinking world,
152.366	and that the media has largely
152.366	been slow to wake up to this.
155.559	The issues we report on
155.559	are more and more transnational.
159.135	Giant corporations operate
159.135	on a global level.
162.441	Environmental and health
162.441	crises are global.
165.758	So, too, are financial flows
165.758	and financial crises.
169.488	So it seems staggering
169.488	that journalism has been so late
172.516	to cover stories in a truly global way.
175.783	And it also seems staggering
175.783	that journalism has been so slow
178.811	to wake up to the possibilities
178.811	that technology brings,
182.244	rather than being frightened of it.
185.666	The reason journalists
185.666	are scared of technology is this:
189.477	the profession's largest institutions
189.477	are going through tough times
193.061	because of the changing way
193.061	that people are consuming news.
196.958	The advertising business models
196.958	that have sustained reporting are broken.
201.89	And this has plunged
201.89	journalism into crisis,
204.572	forcing those institutions
204.572	to reexamine how they function.
210.258	But where there is crisis,
211.935	there is also opportunity.
214.013	The first challenge presented
215.491	by what would eventually become
215.491	known as the Panama Papers
218.363	was to make the documents
218.363	searchable and readable.
220.936	There were nearly five million emails,
223.587	two million PDFs that needed
223.587	to be scanned and indexed,
226.924	and millions more files
226.924	and other kinds of documents.
230.162	They all needed to be housed
230.162	in a safe and secure location
233.023	in the cloud.
234.961	We next invited reporters
234.961	to have a look at the documents.
238.456	In all, reporters from more
238.456	than 100 media organizations
242.34	in 76 countries --
244.433	from the BBC in Britain
246.502	to Le Monde newspaper in France
248.742	to the Asahi Shimbun in Japan.
252.473	"""Native eyes on native names,"""
252.473	we called it, the idea being,
256.247	who best to tell you
256.247	who was important to Nigeria
259.63	than a Nigerian journalist?
261.623	Who best in Canada than a Canadian?
264.247	There were only two rules
264.247	for everyone who was invited:
267.327	we all agreed to share everything
267.327	that we found with everybody else,
272.335	and we all agreed to publish
272.335	together on the same day.
275.769	We chose our media partners based on trust
277.828	that had been built up through
277.828	previous smaller collaborations
281.07	and also from leads
281.07	that jumped out from the documents.
284.625	Over the next few months,
285.884	my small nonprofit organization
285.884	of less than 20 people
288.566	was joined by more than 350 other
288.566	reporters from 25 language groups.
294.035	The biggest information leak in history
295.981	had now spawned the biggest
295.981	journalism collaboration in history:
	what journalists normally never do,
306.203	working shoulder to shoulder,
307.838	sharing information,
309.488	but telling no one.
312.102	For it became clear at this point
313.725	that in order to make
313.725	the biggest kind of noise,
316.106	we first needed
316.106	the biggest kind of silence.
320.49	To manage the project
320.49	over the many months it would take,
323.244	we built a secure virtual newsroom.
325.085	We used encrypted communication systems,
328.157	and we built a specially
