startsecond	text
12.681	Caitlin Quattromani: The election
12.681	of 2016 felt different.
16.398	Political conversations
16.398	with our family and friends
19.445	uncovered a level of polarization
21.255	that many of us had not
21.255	previously experienced.
24.49	People who we always thought
24.49	were reasonable and intelligent
28.037	seemed like strangers.
29.646	We said to ourselves,
29.646	"""How could you think that?"
32.329	"I thought you were smart."""
34.225	Lauran Arledge: Caitlin and I met
34.225	in the summer of 2011,
37.642	and we bonded around being working moms
39.556	and trying to keep
39.556	our very energetic boys busy.
42.646	And we soon found out
42.646	we had almost everything in common.
46.138	From our love of Colorado
46.138	to our love of sushi,
49.655	there wasn't much we didn't agree on.
52.481	We also discovered that we share
52.481	a deep love of this country
55.498	and feel a responsibility
55.498	to be politically active.
59.076	But no one's perfect --
60.751	(Laughter)
61.823	and I soon found out
61.823	two disappointing things about Caitlin.
65.85	First, she hates camping.
68.497	CQ: I think camping is the worst.
70.569	LA: So there would not be
70.569	any joint camping trips in our future.
74.901	The second thing is that
74.901	she's politically active all right --
78.585	as a conservative.
80.41	CQ: I may hate camping,
80.41	but I love politics.
83.736	I listen to conservative talk radio
83.736	just about every day,
86.965	and I've volunteered for a few different
86.965	conservative political campaigns.
91.131	LA: And I'd say I'm a little to the left,
93.457	like all the way to the left.
94.895	(Laughter)
96.498	I've always been interested in politics.
98.618	I was a political science major,
100.22	and I worked as a community organizer
100.22	and on a congressional campaign.
103.998	CQ: So as Lauran and I
103.998	were getting to know each other,
106.672	it was right in the middle
106.672	of that 2012 presidential campaign,
109.619	and most of our early
109.619	political conversations
112.136	were really just based
112.136	in jokes and pranks.
115.064	So as an example, I would change
115.064	Lauran's computer screen saver
118.12	to a picture of Mitt Romney,
119.573	or she would put an Obama
119.573	campaign magnet on the back of my car.
122.994	(Laughter)
124.029	LA: Car, not minivan.
126.093	CQ: But over time,
126.093	those conversations grew more serious
129.125	and really became
129.125	a core of our friendship.
131.808	And somewhere along the line,
133.25	we decided we didn't want to have
133.25	any topic be off limits for discussion,
137.253	even if those topics pushed us way
137.253	outside of our friendship comfort zone.
141.731	LA: And so to most of us,
142.959	political conversations
142.959	are a zero-sum game.
145.579	There's a winner and there's a loser.
147.58	We go for the attack and we spot
147.58	a weakness in someone's argument.
150.857	And here's the important part:
152.364	we tend to take every comment
152.364	or opinion that's expressed
155.484	as a personal affront
155.484	to our own values and beliefs.
159.337	But what if changed the way
159.337	we think about these conversations?
163.035	What if, in these heated moments,
165.321	we chose dialogue over debate?
168.606	When we engage in dialogue,
168.606	we flip the script.
172.118	We replace our ego and our desire to win
174.919	with curiosity, empathy
177.022	and a desire to learn.
178.531	Instead of coming
178.531	from a place of judgment,
180.621	we are genuinely interested
180.621	in the other person's experiences,
184.517	their values and their concerns.
187.04	CQ: You make it sound so simple, Lauran.
189.601	But getting to that place
189.601	of true dialogue is hard,
192.446	especially when we're talking
192.446	about politics.
194.881	It is so easy to get emotionally fired up
197.52	about issues that we're passionate about,
199.66	and we can let our ego
199.66	get in the way of truly hearing
202.619	the other person's perspective.
204.376	And in this crazy political climate
204.376	we're in right now,
206.973	unfortunately, we're seeing
206.973	an extreme result
209.789	of those heated political conversations,
212.159	to the point where people are willing
212.159	to walk away from their relationships.
216.152	In fact, Rasmussen released
216.152	a poll earlier this year
219.145	that said 40 percent of people
219.145	reported that the 2016 election
223.883	negatively impacted
223.883	a personal relationship,
226.931	and the Journal of Cognitive
226.931	Neuroscience tells us
229.391	that people tend to feel
229.391	their way to their beliefs
232.344	rather than using reasoning,
234.081	and that when reason and emotion collide,
237.162	it's emotion that invariably wins.
239.606	So no wonder it's hard
239.606	to talk about these issues.
242.209	LA: And look, we're just
242.209	two regular friends
244.282	who happen to think very differently
246.616	about politics and the role
246.616	that government should play in our lives.
250.235	And I know we were all taught
250.235	not to talk about politics
252.895	because it's not polite,
254.363	but we need to be able to talk about it,
256.3	because it's important to us
256.3	and it's a part of who we are.
259.479	CQ: We have chosen
259.479	to avoid political debate
262.265	and instead engage in dialogue
264.512	in order to maintain what we fondly call
267.077	our bipartisan friendship.
268.878	(Laughter)
270.632	LA: And this election
270.632	and all of the craziness that has followed
273.664	has given us several opportunities
273.664	to practice this skill.
276.717	(Laughter)
278.583	Let's start with January
278.583	and the Women's March.
280.799	At this point, you can probably guess
280.799	which one of us participated.
284.25	(Laughter)
285.617	CQ: Oh, the Women's March.
287.61	I was annoyed and irritated
287.61	that entire day,
290.436	really because of two things.
292.251	"Number one, the name ""Women's March."""
295.14	As a conservative woman,
296.4	the march's platform of issues
296.4	didn't represent me,
299.416	and that's OK,
300.614	but hearing it talked about
300.614	as this demonstration of sisterhood
303.909	and solidarity for all women
305.6	didn't ring true for me.
307.283	The other piece
307.283	was the timing of the event,
