startsecond	text
12.8	I spend most of my time
16.8	thinking about little girls,
20.28	which is kind of a weird thing
20.28	for a grown man in our society to say.
25.08	But I do. I spend most of my time
25.08	thinking about little girls,
28.04	and I think it's primarily
28.04	because I have one.
31.16	This one's mine, and I think
31.16	you would really like her.
34.24	She is smart and funny
36.72	and kind to people and a good friend.
39.96	But when I talk about my daughter,
39.96	the word I find myself saying most
44.36	"is ""athlete."""
46.4	My kid's athletic.
48.24	She is strong and fast
50.8	and has great balance
50.8	and good body control.
54	She is a three-time,
54	back-to-back-to-back state champion
57.4	in Shaolin Kempo.
59.08	At nine years old, she is already
59.08	halfway to a black belt.
62.8	My daughter is athletic.
64.6	Now, when a man who is six feet two
64.6	and 265 pounds stands in front of you
68.8	and says his daughter is athletic,
70.56	you might think
70.56	that's a reflection of him.
72.8	It is not.
74.04	(Laughter)
75.52	My wife in high school
75.52	was a two-time all-state soccer player
78.92	and a two-time all-state
78.92	volleyball player,
81.24	"and I played ""Dungeons and Dragons."""
83.28	And that is why,
85.4	although my daughter is an athlete,
87.36	she's also a huge nerd, which I love.
90.56	She walks around our house
90.56	in a cloak of flames
93.2	that she made herself.
95.4	She sits on the Iron Throne --
97.4	(Laughter)
99.2	even though she has never
99.2	"seen ""Game of Thrones,"""
101.56	primarily because we are not
101.56	the worst parents who ever lived.
105.44	But she knows there's someone
105.44	called the Mother of Dragons,
108.24	and she calls herself that
108.24	and she loves it.
110.36	She's a huge comic book fan.
112.08	Right now, her favorite
112.08	character is Groot.
114.16	She loves Groot.
115.4	She adores The Incredible Hulk.
118.08	But my daughter really at heart,
120.28	her thing is Star Wars.
123.32	My kid is a Jedi.
125.56	Although some days she's also a Sith,
127.36	which is a choice that I can respect.
130.6	(Laughter)
131.72	But here's the question
131.72	that I have to ask.
134.4	Why is it that when
134.4	my daughter dresses up,
136.72	whether it's Groot or The Incredible Hulk,
139.32	whether it's Obi-Wan Kenobi or Darth Maul,
142.88	why is every character
142.88	she dresses up as a boy?
148.32	And where are all the female superheroes?
150.36	And that is not actually the question,
152.24	because there's plenty
152.24	of female superheroes.
154.4	My question really is,
154.4	where is all the female superhero stuff?
158.64	Where are the costumes?
158.64	Where are the toys?
161.6	Because every day when my daughter
161.6	plays when she dresses up,
165.36	she's learning stuff
