startsecond	text
28.337	Thank you so much, Chris.
29.552	And it's truly a great honor
29.552	to have the opportunity
33.526	to come to this stage twice;
33.526	I'm extremely grateful.
36.554	I have been blown away by this conference,
40.112	and I want to thank all of you
40.112	for the many nice comments
45.804	about what I had to say the other night.
48	And I say that sincerely,
50.899	partly because (Mock sob)
52.887	I need that.
54.062	(Laughter)
59.943	Put yourselves in my position.
61.888	(Laughter)
68.44	I flew on Air Force Two for eight years.
71.021	(Laughter)
73	Now I have to take off my shoes
73	or boots to get on an airplane!
76.388	(Laughter)
79.117	(Applause)
85.589	I'll tell you one quick story
87.336	to illustrate what
87.336	that's been like for me.
90.479	(Laughter)
92.024	It's a true story --
92.024	every bit of this is true.
95.158	Soon after Tipper and I left the --
95.158	(Mock sob) White House --
98.767	(Laughter)
100.809	we were driving from our home
100.809	in Nashville to a little farm we have
109	Driving ourselves.
110.514	(Laughter)
113	I know it sounds like
113	a little thing to you, but --
115.741	(Laughter)
121.234	I looked in the rear-view mirror
126.965	and all of a sudden it just hit me.
130.195	There was no motorcade back there.
131.855	(Laughter)
134.533	You've heard of phantom limb pain?
136.55	(Laughter)
141.386	This was a rented Ford Taurus.
145.626	(Laughter)
148.154	It was dinnertime,
150.184	and we started looking for a place to eat.
153.588	We were on I-40.
155.017	We got to Exit 238, Lebanon, Tennessee.
158.238	We got off the exit,
158.238	we found a Shoney's restaurant.
161.95	Low-cost family restaurant chain,
161.95	for those of you who don't know it.
166.877	We went in and sat down at the booth,
166.877	and the waitress came over,
171.336	made a big commotion over Tipper.
173.346	(Laughter)
175.833	She took our order, and then went
175.833	to the couple in the booth next to us,
179.277	and she lowered her voice so much,
181.405	I had to really strain to hear
181.405	what she was saying.
184.43	"And she said ""Yes, that's former"
184.43	Vice President Al Gore
187.133	"and his wife, Tipper."""
189	And the man said,
190.551	"""He's come down a long way, hasn't he?"""
192.767	(Laughter)
197.699	(Applause)
202	There's been kind
202	of a series of epiphanies.
205.143	(Laughter)
206.311	The very next day,
206.311	continuing the totally true story,
210	I got on a G-V to fly to Africa
210	to make a speech in Nigeria,
216	in the city of Lagos,
216	on the topic of energy.
219.301	And I began the speech
219.301	by telling them the story
223.121	of what had just happened
223.121	the day before in Nashville.
226.196	And I told it pretty much the same way
226.196	I've just shared it with you:
229.526	Tipper and I were driving ourselves,
231.288	Shoney's, low-cost
231.288	family restaurant chain,
233.35	what the man said -- they laughed.
235.703	I gave my speech, then went back
235.703	out to the airport to fly back home.
239.31	I fell asleep on the plane
241.2	until, during the middle
241.2	of the night, we landed
243.762	on the Azores Islands for refueling.
246.364	I woke up, they opened the door,
246.364	I went out to get some fresh air,
249.5	and I looked, and there was a man
249.5	running across the runway.
253	And he was waving a piece
253	of paper, and he was yelling,
256.079	"""Call Washington! Call Washington!"""
260.981	And I thought to myself,
260.981	in the middle of the night,
263.45	in the middle of the Atlantic,
264.91	what in the world could be
264.91	wrong in Washington?
267.154	Then I remembered
267.154	it could be a bunch of things.
269.439	(Laughter)
275	But what it turned out to be,
276.951	was that my staff was extremely upset
280.286	because one of the wire services
280.286	in Nigeria had already written a story
286.512	about my speech,
287.956	and it had already been printed in cities
289.956	all across the United States of America.
292.312	It was printed in Monterey, I checked.
294.164	(Laughter)
295.553	And the story began,
298.238	"""Former Vice President Al Gore"
