startsecond	text
12.959	There are things we say
14.261	when we catch the eye of a stranger
16.681	or a neighbor walking by.
19.53	"We say, ""Hello, how are you?"
22.08	It's a beautiful day.
23.812	"How do you feel?"""
25.552	These sound kind of meaningless, right?
25.552	And, in some ways, they are.
29.21	They have no semantic meaning.
32.5	It doesn't matter how you are
32.5	or what the day is like.
35.934	They have something else.
37.425	They have social meaning.
40.051	What we mean when we say those things is:
42.554	I see you there.
45.764	I'm obsessed with talking to strangers.
49.122	I make eye contact, say hello,
51.499	I offer help, I listen.
54.699	I get all kinds of stories.
57.773	About seven years ago, I started
57.773	documenting my experiences
61.064	to try to figure out why.
63.9	What I found was that something
63.9	really beautiful was going on.
67.963	This is almost poetic.
70.184	These were really profound experiences.
73.478	They were unexpected pleasures.
75.382	They were genuine emotional connections.
78.37	They were liberating moments.
82.098	So one day, I was standing on a corner
82.098	waiting for the light to change,
86.226	which, I'm a New Yorker,
87.559	so that means I was actually standing
87.559	in the street on the storm drain,
91.667	as if that could get me across faster.
94.038	And there's an old man
94.038	standing next to me.
96.063	So he's wearing, like, a long overcoat
96.063	and sort of an old-man hat,
100.914	and he looked like somebody from a movie.
103.064	And he says to me,
104.286	"""Don't stand there. You might disappear."""
108.095	So this is absurd, right?
109.386	But I did what he said.
109.386	I stepped back onto the sidewalk.
112.697	And he smiled, and he said,
114.613	"""Good. You never know."
116.518	I might have turned around,
117.969	"and zoop, you're gone."""
121.553	This was weird,
123.638	and also really wonderful.
126.091	He was so warm, and he was
126.091	so happy that he'd saved me.
129.977	We had this little bond.
131.987	For a minute, I felt like
131.987	my existence as a person
136.174	had been noticed,
138.335	and I was worth saving.
143.058	The really sad thing is,
144.709	in many parts of the world,
146.406	we're raised to believe
146.406	that strangers are dangerous by default,
150.36	that we can't trust them,
150.36	that they might hurt us.
154.389	But most strangers aren't dangerous.
156.991	We're uneasy around them
156.991	because we have no context.
160.807	We don't know what their intentions are.
163.028	So instead of using our perceptions
163.028	and making choices,
166.835	"we rely on this category of ""stranger."""
171.012	I have a four-year-old.
172.862	When I say hello to people on the street,
174.861	she asks me why.
176.82	"She says, ""Do we know them?"""
180.324	"I say, ""No, they're our neighbor."""
182.895	"""Are they our friend?"""
184.941	"""No, it's just good to be friendly."""
187.773	I think twice every time
187.773	I say that to her,
191.126	because I mean it,
191.126	but as a woman, particularly,
194.658	I know that not every stranger
194.658	on the street has the best intentions.
198.873	It is good to be friendly,
198.873	and it's good to learn when not to be,
202.751	but none of that means
