startsecond	text
15.26	It's not about technology,
17.26	it's about people and stories.
19.26	I could show you
21.26	what recently was on television
23.26	as a high quality video:
28.26	And it was the now director of the entire piece
31.26	of the veteran's administration --
34.26	who, himself, had lost an arm 39 years ago
37.26	in Vietnam --
40.26	who was adamantly opposed to these crazy devices
42.26	that don't work.
45.26	And it turns out that with 60 Minutes cameras rolling in the background,
48.26	after he pretty much made his position clear on this --
51.26	he had his hook and he had his --
54.26	he wore this arm for less than two hours
57.26	and was able to pour himself a drink and got quite emotional over the fact
60.26	that, quote -- his quote --
63.26	it's the first time he's felt like he's had an arm in 39 years.
67.26	But that would sort of be jumping to the middle of the story,
70.26	and I'm not going to show you that polished video.
72.26	I'm going to, instead, in a minute or two,
74.26	show you an early, crude video
77.26	because I think it's
79.26	a better way to tell a story.
83.26	A few years ago I was visited by
85.26	the guy that runs DARPA,
87.26	the people that fund all the advanced technologies
90.26	that businesses and universities probably wouldn't take the risk of doing.
97.26	They have a particular interest in ones that will help our soldiers.
101.26	I get this sort of unrequested -- by me anyway -- visit,
106.26	and sitting in my conference room is a very senior surgeon
109.26	from the military
111.26	and the guy that runs DARPA.
115.26	They proceed to tell me a story which comes down
118.26	to basically the following. We have used such advanced technologies
121.26	now and made them available
124.26	in the most remote places that we put soldiers:
127.26	hills of Afghanistan, Iraq ...
131.26	They were quite proud of the fact that
133.26	you know, before the dust clears,
136.26	if some soldier has been hurt
138.26	they will have collected him or her, they will have brought him back,
141.26	they will be getting world-class triage emergency care
144.26	faster than you and I would be getting it if we were hurt
148.26	in a car accident in a major city in the United States.
152.26	That's the good news.
154.26	The bad news is if they've collected this person
157.26	and he or she is missing an arm or leg,
160.26	part of the face, it's probably not coming back.
164.26	So, they started giving me the statistics on how many of these kids had lost an arm.
168.26	And then the surgeon pointed out, with a lot of anger,
171.26	"he said, ""Why is it? At the end of the Civil War,"
175.26	they were shooting each other with muskets. If somebody lost an arm,
177.26	we gave them a wooden stick with a hook on it.
182.26	Now we've got F18s and F22s,
185.26	and if somebody loses an arm,
187.26	"we give them a plastic stick with a hook on it."""
190.26	"And they basically said, ""This is unacceptable,"""
194.26	"and then the punchline: ""So, Dean,"
196.26	we're here because you make medical stuff.
198.26	"You're going to give us an arm."""
201.26	And I was waiting for the 500 pages of bureaucracy,
204.26	paperwork and DODs.
207.26	No, the guy says,
210.26	"""We're going to bring a guy into this conference room,"
214.26	and wearing the arm you're going to give us,
217.26	he or she is going to pick up a raisin or a grape
219.26	off this table.
221.26	"If it's the grape, they won't break it."""
224.26	Great he needs efferent, afferent, haptic response sensors.
227.26	"""If it's the raisin, they won't drop it."""
230.26	So he wants fine motor control: flex at the wrist,
235.26	flex at the elbow, abduct and flex at the shoulder.
239.26	Either way they were going to eat it.
241.26	"""Oh, by the way Dean. It's going to fit on a 50th percentile female frame --"
245.26	namely 32 inches from the long finger --
248.26	"and weigh less than nine pounds."""
254.26	"""And it's going to be completely self contained including all its power."""
258.26	So, they finished that. And I, as you can tell,
260.26	am a bashful guy.
262.26	I told them they're nuts.
264.26	(Laughter)
266.26	"They've been watching too much ""Terminator."""
268.26	(Laughter)
270.26	Then, the surgeon says to me,
273.26	"""Dean, you need to know"
276.26	more than two dozen of these kids have come back
279.26	"bilateral."""
281.26	Now, I cannot imagine --
283.26	I'm sorry, you may have a better
287.26	imagination than I do --
289.26	I can't imagine losing my arm,
292.26	and typically at 22 years old.
295.26	But compared to that, losing two?
298.26	Seems like that would be an inconvenience.
302.26	Anyway, I went home that night. I thought about it.
305.26	I literally could not sleep
307.26	"thinking about, ""I wonder how you'd roll over"
309.26	"with no shoulders."""
313.26	So, I decided we've got to do this.
316.26	And trust me, I've got a day job, I've got a lot of day jobs.
318.26	Most of my day job keeps me busy
321.26	funding my fantasies like FIRST and water and power ....
323.26	And I've got a lot of day jobs.
326.26	But I figured I gotta do this.
330.26	Did a little investigation,
332.26	went down to Washington, told them
335.26	I still think they're nuts but we're going to do it.
340.26	And I told them I'd build them an arm.
342.26	I told them it would probably take five years to get through the FDA,
345.26	and probably 10 years to be reasonably functional.
348.26	Look what it takes to make things like iPods.
352.26	"""Great,"" he said, ""You got two years."""
355.26	(Laughter)
356.26	"I said, ""I'll tell you what. I'll build you an arm"
358.26	that's under nine pounds
360.26	that has all that capability in one year.
362.26	"It will take the other nine to make it functional and useful."""
366.26	We sort of agreed to disagree.
368.26	I went back and I started putting a team together,
370.26	the best guys I could find with a passion to do this.
373.26	At the end of exactly one year
376.26	we had a device with 14 degrees of freedom,
378.26	all the sensors, all the microprocessors,
381.26	all the stuff inside.
383.26	I could show you it with a cosmesis on it
385.26	that's so real it's eerie, but then you wouldn't see
387.26	all this cool stuff.
390.26	I then thought it would be years
392.26	before we'd be able to make it really, really useful.
397.26	It turned out, as I think you could see
399.26	in Aimee's capabilities and attitudes,
