startsecond	text
13.424	It was an afternoon in the fall of 2005.
17.325	I was working at the ACLU
17.325	as the organization's science advisor.
21.388	I really, really loved my job,
24.019	but I was having one of those days
25.679	where I was feeling
25.679	just a little bit discouraged.
29.265	So I wandered down the hallway
29.265	to my colleague Chris Hansen's office.
34.367	Chris had been at the ACLU
34.367	for more than 30 years,
38.045	so he had deep institutional
38.045	knowledge and insights.
41.64	I explained to Chris
41.64	that I was feeling a little bit stuck.
45.512	I had been investigating
45.512	a number of issues
47.718	at the intersection of science
47.718	and civil liberties -- super interesting.
53.043	But I wanted the ACLU to engage
53.043	these issues in a much bigger way,
56.977	in a way that could really
56.977	make a difference.
61.603	So Chris cut right
61.603	to the chase, and he says,
63.727	"""Well, of all the issues you've been"
63.727	"looking at, what are the top five?"""
67.524	"""Well, there's genetic discrimination,"
70.204	and reproductive technologies,
72.653	and biobanking, and ...
74.818	oh, there's this really cool issue,
76.684	functional MRI and using it
76.684	for lie detection, and ...
79.357	"oh, and of course, there's gene patents."""
81.502	"""Gene patents?"""
83.967	"""Yes, you know, patents on human genes."""
86.073	"""No!"
87.603	You're telling me that the US government
90.088	has been issuing patents
90.088	on part of the human body?
93.543	"That can't be right."""
95.861	I went back to my office
95.861	and sent Chris three articles.
99.954	And 20 minutes later,
99.954	he came bursting in my office.
103.305	"""Oh my god! You're right! Who can we sue?"""
107.33	(Laughter)
109.713	Now Chris is a really brilliant lawyer,
112.111	but he knew almost nothing
112.111	about patent law
115.044	and certainly nothing about genetics.
117.504	I knew something about genetics,
117.504	but I wasn't even a lawyer,
120.406	let alone a patent lawyer.
122.091	So clearly we had a lot to learn
122.091	before we could file a lawsuit.
126.036	First, we needed to understand
126.036	exactly what was patented
128.918	when someone patented a gene.
131.679	Gene patents typically contain
131.679	dozens of claims,
135.525	but the most controversial of these
135.525	"are to so-called ""isolated DNA"" --"
140.699	namely, a piece of DNA
140.699	that has been removed from a cell.
146.073	Gene patent proponents say,
147.396	"""See? We didn't patent"
147.396	the gene in your body,
150.594	"we patented an isolated gene."""
153.148	And that's true,
154.373	but the problem is that any use
154.373	of the gene requires that it be isolated.
162.51	And the patents weren't just
162.51	to a particular gene that they isolated,
166.939	but on every possible
166.939	version of that gene.
170.183	So what does that mean?
171.981	That means that you can't give
171.981	your gene to your doctor
175.067	and ask him or her to look at it,
177.387	say, to see if it has any mutations,
179.511	without permission of the patent holder.
182.363	It also means that the patent holder
182.363	has the right to stop anyone
186.58	from using that gene
186.58	in research or clinical testing.
190.871	Allowing patent holders,
192.593	often private companies,
193.901	to lock up stretches of the human genome
193.901	was harming patients.
198.958	Consider Abigail,
200.134	a 10-year-old with long QT syndrome,
202.551	a serious heart condition that,
202.551	if left untreated,
205.999	can result in sudden death.
208.911	The company that obtained a patent on two
208.911	genes associated with this condition
212.857	developed a test to diagnose the syndrome.
215.363	But then they went bankrupt
215.363	and they never offered it.
219.06	So another lab tried to offer the test,
221.012	but the company that held the patents
221.012	threatened to sue the lab
224.024	for patent infringement.
225.23	So as a result,
226.413	for 2 years, no test was available.
230.291	During that time,
231.465	Abigail died of undiagnosed long QT.
235.776	Gene patents clearly were a problem
235.776	and were harming patients.
239.467	But was there a way
239.467	we could challenge them?
242.266	Turns out that the Supreme Court
244.022	has made clear
244.022	through a long line of cases,
247.16	that certain things
247.16	are not patent eligible.
250.925	You can't patent products of nature --
254.148	the air, the water, minerals,
254.148	elements of the periodic table.
259.17	And you can't patent laws of nature --
262.193	the law of gravity, E = mc2.
264.909	These things are just too fundamental
264.909	and must remain free to all
269.739	and reserved exclusively to none.
272.348	It seemed to us that DNA,
274.519	the most fundamental structure of life,
277.059	that codes for the production
277.059	of all of our proteins,
279.739	is both a product of nature
279.739	and a law of nature,
282.989	regardless of whether it's in our bodies
285.715	or sitting in the bottom of a test tube.
288.523	As we delved into this issue,
290.002	we traveled all over the country
290.002	to speak with many different experts --
294.588	scientists, medical professionals,
294.588	lawyers, patent lawyers.
298.753	Most of them agreed that we were right
298.753	as a matter of policy,
302.687	and, at least in theory,
302.687	as a matter of law.
306.313	All of them thought
307.492	our chances of winning
307.492	a gene-patent challenge
310.086	were about zero.
313.628	Why is that?
315.015	Well, the patent office
315.015	had been issuing these patents
318.126	for more than 20 years.
320.686	There were literally thousands
320.686	of patents on human genes.
324.843	The patent bar was deeply
324.843	entrenched in the status quo,
328.581	the biotech industry had grown up
328.581	around this practice,
332.228	and legislation to ban gene patents
332.228	had been introduced
335.371	year after year in Congress,
336.793	and had gone absolutely nowhere.
339.401	So the bottom line:
341.027	courts just weren't going to be willing
341.027	to overturn these patents.
344.916	Now, neither Chris nor I were the type
344.916	to shy away from a challenge,
