startsecond	text
12.312	How many of you have been to Oklahoma City?
14.485	Raise your hand. Yeah?
15.775	How many of you have not been to Oklahoma City
17.924	and have no idea who I am? (Laughter)
21.933	Most of you. Let me give you
21.933	a little bit of background.
24.731	Oklahoma City started in the most
27.173	unique way imaginable.
28.941	Back on a spring day in 1889,
31.763	the federal government held what they called
33.35	a land run.
35.109	They literally lined up the settlers
36.803	along an imaginary line,
38.426	and they fired off a gun,
39.851	and the settlers roared across the countryside
41.636	and put down a stake,
43.752	and wherever they put down that stake,
45.288	that was their new home.
46.996	And at the end of the very first day,
49.366	the population of Oklahoma City
51.116	had gone from zero to 10,000,
55.022	and our planning department
56.363	is still paying for that.
60.283	The citizens got together on that first day
62.78	and elected a mayor.
65.032	And then they shot him.
66.839	(Laughter)
71.947	That's not really all that funny
74.43	-- (Laughter) --
75.934	but it allows me to see what type of audience
77.854	I'm dealing with, so I appreciate the feedback.
82.216	The 20th century was fairly kind to Oklahoma City.
84.993	Our economy was based on commodities,
87.454	so the price of cotton or the price of wheat,
90.253	and ultimately the price of oil and natural gas.
93.566	And along the way, we became a city
95.678	of innovation.
97.724	The shopping cart was invented in Oklahoma City.
101.597	(Applause)
106.737	The parking meter, invented in Oklahoma City.
112.037	You're welcome.
115.783	Having an economy, though,
117.479	that relates to commodities
117.479	can give you some ups and some downs,
120.626	and that was certainly the case
120.626	in Oklahoma City's history.
123.223	In the 1970s, when it appeared
125.58	that the price of energy would never retreat,
127.403	our economy was soaring,
129.137	and then in the early 1980s, it cratered quickly.
132.719	The price of energy dropped.
135.19	Our banks began to fail.
136.942	Before the end of the decade,
142.387	There was no bailout on the horizon.
144.938	Our banking industry, our oil and gas industry,
147.243	our commercial real estate industry,
149.279	were all at the bottom of the economic scale.
152.482	Young people were leaving Oklahoma City in droves
155.127	for Washington and Dallas and Houston
155.127	and New York and Tokyo,
158.042	anywhere where they could 
158.042	find a job that measured up
160.149	to their educational attainment,
161.82	because in Oklahoma City,
161.82	the good jobs just weren't there.
165.051	But along at the end of the '80s
166.767	came an enterprising businessman
169.595	who became mayor named Ron Norick.
171.604	Ron Norick eventually figured out
173.351	that the secret to economic development
175.288	wasn't incentivizing companies up front,
177.449	it was about creating a place
177.449	where businesses wanted to locate,
180.503	and so he pushed an initiative called MAPS
183.515	that basically was a penny-on-the-dollar sales tax
185.92	to build a bunch of stuff.
188.232	It built a new sports arena,
190.207	a new canal downtown,
192.386	it fixed up our performing arts center,
194.747	a new baseball stadium downtown,
197.414	a lot of things to improve the quality of life.
199.258	And the economy indeed seemed to start
201.671	showing some signs of life.
203.703	The next mayor came along.
206.061	He started MAPS for Kids,
207.838	rebuilt the entire inner city school system,
210.565	all 75 buildings either built anew or refurbished.
215.319	And then, in 2004,
218.54	in this rare collective lack of judgment
223.244	bordering on civil disobedience,
225.872	the citizens elected me mayor.
229.84	Now the city I inherited
232.044	was just on the verge
233.888	of coming out of its slumbering economy,
237.289	and for the very first time,
238.98	we started showing up on the lists.
242.119	Now you know the lists I'm talking about.
244.136	The media and the Internet
245.919	love to rank cities.
248.465	And in Oklahoma City,
250.54	we'd never really been on lists before.
253.221	So I thought it was kind of cool
254.927	when they came out with these
254.927	positive lists and we were on there.
257.623	We weren't anywhere close to the top,
259.321	but we were on the list, we were somebody.
262.818	Best city to get a job,
264.648	best city to start a business,
266.663	best downtown --
268.456	Oklahoma City.
270.93	And then came the list
274.235	of the most obese cities in the country.
279.781	And there we were.
282.884	Now I like to point out that we were on that list
285.028	with a lot of really cool places.
287.526	(Laughter)
288.749	Dallas and Houston and New Orleans
292.005	and Atlanta and Miami.
293.715	You know, these are cities that, typically,
295.212	you're not embarrassed to be associated with.
297.86	But nonetheless, I didn't like being on the list.
302.128	And about that time, I got on the scales.
306.473	And I weighed 220 pounds.
308.599	And then I went to this website
310.102	sponsored by the federal government,
311.952	and I typed in my height, I typed in my weight,
315.625	and I pushed Enter,
316.954	"and it came back and said ""obese."""
321.004	"I thought, ""What a stupid website."""
323.257	(Laughter)
326.132	"""I'm not obese. I would know if I was obese."""
332.377	And then I started getting honest with myself
334.868	about what had become
334.868	my lifelong struggle with obesity,
339.794	and I noticed this pattern,
341.674	that I was gaining about two or three pounds a year,
344.365	and then about every 10 years,
344.365	I'd drop 20 or 30 pounds.
347.671	And then I'd do it again.
349.233	And I had this huge closet full of clothes,
351.566	and I could only wear a third of it at any one time,
354.933	and only I knew which part of the closet I could wear.
359.045	But it all seemed fairly normal, going through it.
364.595	Well, I finally decided I needed to lose weight,
367.677	and I knew I could because
367.677	I'd done it so many times before,
370.094	so I simply stopped eating as much.
372.332	I had always exercised.
373.587	That really wasn't the part of the equation
375.462	that I needed to work on.
377.375	But I had been eating 3,000 calories a day,
380.204	and I cut it to 2,000 calories a day,
382.486	and the weight came off. I lost about a pound a week
385.377	for about 40 weeks.
389.283	Along the way, though,
