startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.992	Once upon a time, the world was a big, dysfunctional family.
21.161	It was run by the great and powerful parents,
24.592	and the people were helpless
26.927	and hopeless naughty children.
29.423	If any of the more rowdier children questioned
31.926	the authority of the parents, they were scolded.
35.503	If they went exploring into the parents' rooms,
38.536	or even into the secret filing cabinets, they were punished,
42.319	and told that for their own good
45.072	they must never go in there again.
48.703	Then one day, a man came to town
51.199	with boxes and boxes of secret documents
53.997	stolen from the parents' rooms.
55.861	"""Look what they've been hiding from you,"" he said."
59.887	The children looked and were amazed.
62.929	There were maps and minutes from meetings
65.773	where the parents were slagging each other off.
69.038	They behaved just like the children.
71.586	And they made mistakes, too, just like the children.
75.544	The only difference was, their mistakes
78.255	were in the secret filing cabinets.
81.08	Well, there was a girl in the town, and she didn't think
83.885	they should be in the secret filing cabinets,
86.752	or if they were, there ought to be a law
88.652	to allow the children access.
90.769	And so she set about to make it so.
94.576	Well, I'm the girl in that story, and the secret documents
98.422	that I was interested in were located in this building,
101.576	the British Parliament, and the data that I wanted
105.938	to get my hands on were the expense receipts
108.599	of members of Parliament.
112.488	I thought this was a basic question to ask in a democracy. (Applause)
118.727	It wasn't like I was asking for the code to a nuclear bunker,
121.634	or anything like that, but the amount of resistance I got
124.487	from this Freedom of Information request,
127.01	you would have thought I'd asked something like this.
130.254	So I fought for about five years doing this,
134.479	and it was one of many hundreds of requests that I made,
137.951	not -- I didn't -- Hey, look, I didn't set out, honestly,
140.904	to revolutionize the British Parliament.
142.553	That was not my intention. I was just making these requests
145.984	as part of research for my first book.
149.135	But it ended up in this very long, protracted legal battle
152	and there I was after five years fighting against Parliament
156.375	in front of three of Britain's most eminent High Court judges
159.415	waiting for their ruling about whether or not Parliament had to release this data.
163.567	And I've got to tell you, I wasn't that hopeful,
165.675	because I'd seen the establishment. I thought,
168.4	it always sticks together. I am out of luck.
171.756	Well, guess what? I won. Hooray. (Applause)
176.342	Well, that's not exactly the story, because the problem was
179.765	that Parliament delayed and delayed releasing that data,
183.119	and then they tried to retrospectively change the law
186.279	so that it would no longer apply to them.
188.952	The transparency law they'd passed earlier that applied to everybody else,
191.874	they tried to keep it so it didn't apply to them.
194.67	What they hadn't counted on was digitization,
198.165	because that meant that all those paper receipts
200.551	had been scanned in electronically, and it was very easy
203.791	for somebody to just copy that entire database,
206.99	put it on a disk, and then just saunter outside of Parliament,
210.924	which they did, and then they shopped that disk
213.409	to the highest bidder, which was the Daily Telegraph,
216.367	and then, you all remember, there was weeks and weeks
219.574	of revelations, everything from porn movies
222.599	and bath plugs and new kitchens
225.755	and mortgages that had never been paid off.
229.216	The end result was six ministers resigned,
233.903	the first speaker of the house in 300 years was forced to resign,
237.954	a new government was elected on a mandate of transparency,
245.756	and so far, four MPs and two lords
250.247	have done jail time for fraud.
253.277	So, thank you. (Applause)
259.655	Well, I tell you that story because it wasn't unique to Britain.
263.93	It was an example of a culture clash that's happening
267.271	all over the world between bewigged and bestockinged
270.591	officials who think that they can rule over us
274.695	without very much prying from the public,
276.603	and then suddenly confronted with a public
279.056	who is no longer content with that arrangement,
282.494	and not only not content with it, now, more often,
285.732	armed with official data itself.
290.106	So we are moving to this democratization of information,
295.244	and I've been in this field for quite a while.
297.891	Slightly embarrassing admission: Even when I was a kid,
300.532	I used to have these little spy books, and I would, like,
302.467	see what everybody was doing in my neighborhood and log it down.
305.093	I think that was a pretty good indication
307.299	about my future career as an investigative journalist,
310.38	and what I've seen from being in this access to information field for so long
314.9	is that it used to be quite a niche interest,
317.676	and it's gone mainstream. Everybody, increasingly, around the world,
320.827	wants to know about what people in power are doing.
