startsecond	text
15.33	I admit that I'm a little bit nervous here
18.33	because I'm going to say some radical things,
21.33	about how we should think about cancer differently,
24.33	to an audience that contains a lot of people
26.33	who know a lot more about cancer than I do.
30.33	But I will also contest that I'm not as nervous as I should be
33.33	because I'm pretty sure I'm right about this.
35.33	(Laughter)
37.33	And that this, in fact, will be
39.33	the way that we treat cancer in the future.
43.33	In order to talk about cancer,
45.33	I'm going to actually have to --
48.33	let me get the big slide here.
53.33	First, I'm going to try to give you a different perspective of genomics.
56.33	I want to put it in perspective of the bigger picture
58.33	of all the other things that are going on --
61.33	and then talk about something you haven't heard so much about, which is proteomics.
64.33	Having explained those,
66.33	that will set up for what I think will be a different idea
69.33	about how to go about treating cancer.
71.33	So let me start with genomics.
73.33	It is the hot topic.
75.33	It is the place where we're learning the most.
77.33	This is the great frontier.
79.33	But it has its limitations.
82.33	And in particular, you've probably all heard the analogy
85.33	that the genome is like the blueprint of your body,
88.33	and if that were only true, it would be great,
90.33	but it's not.
92.33	It's like the parts list of your body.
94.33	It doesn't say how things are connected,
96.33	what causes what and so on.
99.33	So if I can make an analogy,
101.33	let's say that you were trying to tell the difference
103.33	between a good restaurant, a healthy restaurant
106.33	and a sick restaurant,
108.33	and all you had was the list of ingredients
110.33	that they had in their larder.
113.33	So it might be that, if you went to a French restaurant
116.33	and you looked through it and you found
118.33	they only had margarine and they didn't have butter,
120.33	"you could say, ""Ah, I see what's wrong with them."
122.33	"I can make them healthy."""
124.33	And there probably are special cases of that.
126.33	You could certainly tell the difference
128.33	between a Chinese restaurant and a French restaurant
130.33	by what they had in a larder.
132.33	So the list of ingredients does tell you something,
135.33	and sometimes it tells you something that's wrong.
139.33	If they have tons of salt,
141.33	you might guess they're using too much salt, or something like that.
144.33	But it's limited,
146.33	because really to know if it's a healthy restaurant,
148.33	you need to taste the food, you need to know what goes on in the kitchen,
151.33	you need the product of all of those ingredients.
154.33	So if I look at a person
156.33	and I look at a person's genome, it's the same thing.
159.33	The part of the genome that we can read
161.33	is the list of ingredients.
163.33	And so indeed,
165.33	there are times when we can find ingredients
167.33	that [are] bad.
169.33	Cystic fibrosis is an example of a disease
171.33	where you just have a bad ingredient and you have a disease,
174.33	and we can actually make a direct correspondence
177.33	between the ingredient and the disease.
180.33	But most things, you really have to know what's going on in the kitchen,
183.33	because, mostly, sick people used to be healthy people --
185.33	they have the same genome.
187.33	So the genome really tells you much more
189.33	about predisposition.
191.33	So what you can tell
193.33	is you can tell the difference between an Asian person and a European person
195.33	by looking at their ingredients list.
197.33	But you really for the most part can't tell the difference
200.33	between a healthy person and a sick person --
203.33	except in some of these special cases.
205.33	So why all the big deal
207.33	about genetics?
209.33	Well first of all,
211.33	it's because we can read it, which is fantastic.
214.33	It is very useful in certain circumstances.
217.33	It's also the great theoretical triumph
220.33	of biology.
222.33	It's the one theory
224.33	that the biologists ever really got right.
226.33	It's fundamental to Darwin
228.33	and Mendel and so on.
230.33	And so it's the one thing where they predicted a theoretical construct.
234.33	So Mendel had this idea of a gene
236.33	as an abstract thing,
239.33	and Darwin built a whole theory
