startsecond	text
15.26	My subject today is learning.
18.26	And in that spirit, I want to spring on you all a pop quiz.
21.26	Ready?
23.26	When does learning begin?
26.26	Now as you ponder that question,
28.26	maybe you're thinking about the first day of preschool
30.26	or kindergarten,
32.26	the first time that kids are in a classroom with a teacher.
35.26	Or maybe you've called to mind the toddler phase
38.26	when children are learning how to walk and talk
41.26	and use a fork.
43.26	Maybe you've encountered the Zero-to-Three movement,
46.26	which asserts that the most important years for learning
49.26	are the earliest ones.
51.26	And so your answer to my question would be:
54.26	Learning begins at birth.
56.26	Well today I want to present to you
58.26	an idea that may be surprising
61.26	and may even seem implausible,
64.26	but which is supported by the latest evidence
66.26	from psychology and biology.
69.26	And that is that some of the most important learning we ever do
72.26	happens before we're born,
74.26	while we're still in the womb.
77.26	Now I'm a science reporter.
79.26	I write books and magazine articles.
81.26	And I'm also a mother.
83.26	And those two roles came together for me
86.26	"in a book that I wrote called ""Origins."""
89.26	"""Origins"" is a report from the front lines"
92.26	of an exciting new field
94.26	called fetal origins.
96.26	Fetal origins is a scientific discipline
99.26	that emerged just about two decades ago,
102.26	and it's based on the theory
105.26	that our health and well-being throughout our lives
108.26	is crucially affected
110.26	by the nine months we spend in the womb.
113.26	Now this theory was of more than just intellectual interest to me.
117.26	I was myself pregnant
119.26	while I was doing the research for the book.
122.26	And one of the most fascinating insights
124.26	I took from this work
126.26	is that we're all learning about the world
129.26	even before we enter it.
132.26	When we hold our babies for the first time,
134.26	we might imagine that they're clean slates,
137.26	unmarked by life,
139.26	when in fact, they've already been shaped by us
142.26	and by the particular world we live in.
146.26	Today I want to share with you some of the amazing things
148.26	that scientists are discovering
150.26	about what fetuses learn
152.26	while they're still in their mothers' bellies.
156.26	First of all,
158.26	they learn the sound of their mothers' voices.
161.26	Because sounds from the outside world
164.26	have to travel through the mother's abdominal tissue
167.26	and through the amniotic fluid that surrounds the fetus,
171.26	the voices fetuses hear,
173.26	starting around the fourth month of gestation,
176.26	are muted and muffled.
178.26	One researcher says
180.26	that they probably sound a lot like the the voice of Charlie Brown's teacher
183.26	"in the old ""Peanuts"" cartoon."
186.26	But the pregnant woman's own voice
189.26	reverberates through her body,
191.26	reaching the fetus much more readily.
194.26	And because the fetus is with her all the time,
197.26	it hears her voice a lot.
200.26	Once the baby's born, it recognizes her voice
203.26	and it prefers listening to her voice
205.26	over anyone else's.
207.26	How can we know this?
209.26	Newborn babies can't do much,
211.26	but one thing they're really good at is sucking.
214.26	Researchers take advantage of this fact
217.26	by rigging up two rubber nipples,
220.26	so that if a baby sucks on one,
222.26	it hears a recording of its mother's voice
224.26	on a pair of headphones,
226.26	and if it sucks on the other nipple,
228.26	it hears a recording of a female stranger's voice.
232.26	Babies quickly show their preference
235.26	by choosing the first one.
238.26	Scientists also take advantage of the fact
241.26	that babies will slow down their sucking
243.26	when something interests them
245.26	and resume their fast sucking
247.26	when they get bored.
250.26	This is how researchers discovered
252.26	that, after women repeatedly read aloud
255.26	"a section of Dr. Seuss' ""The Cat in the Hat"" while they were pregnant,"
259.26	their newborn babies recognized that passage
262.26	when they hear it outside the womb.
265.26	My favorite experiment of this kind
268.26	is the one that showed that the babies
270.26	of women who watched a certain soap opera
272.26	every day during pregnancy
275.26	recognized the theme song of that show
278.26	once they were born.
281.26	So fetuses are even learning
283.26	about the particular language that's spoken
286.26	in the world that they'll be born into.
288.26	A study published last year
291.26	found that from birth, from the moment of birth,
294.26	babies cry in the accent
296.26	of their mother's native language.
299.26	French babies cry on a rising note
302.26	while German babies end on a falling note,
305.26	imitating the melodic contours
307.26	of those languages.
309.26	Now why would this kind of fetal learning
311.26	be useful?
313.26	It may have evolved to aid the baby's survival.
316.26	From the moment of birth,
318.26	the baby responds most to the voice
320.26	of the person who is most likely to care for it --
322.26	its mother.
324.26	It even makes its cries
326.26	sound like the mother's language,
328.26	which may further endear the baby to the mother,
331.26	and which may give the baby a head start
333.26	in the critical task
335.26	of learning how to understand and speak
338.26	its native language.
340.26	But it's not just sounds
342.26	that fetuses are learning about in utero.
344.26	It's also tastes and smells.
347.26	By seven months of gestation,
349.26	the fetus' taste buds are fully developed,
351.26	and its olfactory receptors, which allow it to smell,
354.26	are functioning.
356.26	The flavors of the food a pregnant woman eats
359.26	find their way into the amniotic fluid,
361.26	which is continuously swallowed
363.26	by the fetus.
365.26	Babies seem to remember and prefer these tastes
368.26	once they're out in the world.
371.26	In one experiment, a group of pregnant women
374.26	was asked to drink a lot of carrot juice
376.26	during their third trimester of pregnancy,
379.26	while another group of pregnant women
381.26	drank only water.
383.26	Six months later, the women's infants
386.26	were offered cereal mixed with carrot juice,
389.26	and their facial expressions were observed while they ate it.
393.26	The offspring of the carrot juice drinking women
395.26	ate more carrot-flavored cereal,
397.26	and from the looks of it,
399.26	they seemed to enjoy it more.
401.26	A sort of French version of this experiment
404.26	was carried out in Dijon, France
406.26	where researchers found
408.26	that mothers who consumed food and drink
