startsecond	text
15.26	A few months ago,
17.26	a 40 year-old woman came to an emergency room
20.26	in a hospital close to where I live,
22.26	and she was brought in confused.
24.26	Her blood pressure was an alarming
29.26	Within a few minutes, she went into cardiac collapse.
32.26	She was resuscitated, stabilized,
35.26	whisked over to a CAT scan suite
37.26	right next to the emergency room,
39.26	because they were concerned about blood clots in the lung.
42.26	And the CAT scan revealed
44.26	no blood clots in the lung,
46.26	but it showed bilateral, visible, palpable breast masses,
51.26	breast tumors,
53.26	that had metastasized widely
55.26	all over the body.
57.26	And the real tragedy was, if you look through her records,
60.26	she had been seen
62.26	in four or five other health care institutions
64.26	in the preceding two years.
66.26	Four or five opportunities
68.26	to see the breast masses, touch the breast mass,
70.26	intervene at a much earlier stage
73.26	than when we saw her.
75.26	Ladies and gentlemen,
77.26	that is not an unusual story.
79.26	Unfortunately, it happens all the time.
82.26	I joke, but I only half joke,
84.26	that if you come to one of our hospitals missing a limb,
87.26	no one will believe you till they get a CAT scan, MRI
90.26	or orthopedic consult.
92.26	I am not a Luddite.
94.26	I teach at Stanford.
96.26	I'm a physician practicing with cutting-edge technology.
98.26	But I'd like to make the case to you
100.26	in the next 17 minutes
102.26	that when we shortcut the physical exam,
106.26	when we lean towards ordering tests
108.26	instead of talking to and examining the patient,
111.26	we not only overlook simple diagnoses
114.26	that can be diagnosed at a treatable, early stage,
117.26	but we're losing much more than that.
119.26	We're losing a ritual.
121.26	We're losing a ritual that I believe is transformative, transcendent,
124.26	and is at the heart
126.26	of the patient-physician relationship.
128.26	This may actually be heresy to say this at TED,
131.26	but I'd like to introduce you
133.26	to the most important innovation,
135.26	I think, in medicine
137.26	to come in the next 10 years,
139.26	and that is the power of the human hand --
141.26	to touch, to comfort, to diagnose
144.26	and to bring about treatment.
146.26	I'd like to introduce you first to this person
149.26	whose image you may or may not recognize.
151.26	This is Sir Arthur Conan Doyle.
153.26	Since we're in Edinburgh, I'm a big fan of Conan Doyle.
156.26	You might not know that Conan Doyle went to medical school
158.26	here in Edinburgh,
160.26	and his character, Sherlock Holmes,
162.26	was inspired by Sir Joseph Bell.
165.26	Joseph Bell was an extraordinary teacher by all accounts.
168.26	And Conan Doyle, writing about Bell,
171.26	described the following exchange
173.26	between Bell and his students.
175.26	So picture Bell sitting in the outpatient department,
178.26	students all around him,
180.26	patients signing up in the emergency room
182.26	and being registered and being brought in.
185.26	And a woman comes in with a child,
187.26	and Conan Doyle describes the following exchange.
190.26	"The woman says, ""Good Morning."""
194.26	"Bell says, ""What sort of crossing did you have"
197.26	"on the ferry from Burntisland?"""
200.26	"She says, ""It was good."""
202.26	"And he says, ""What did you do with the other child?"""
205.26	"She says, ""I left him with my sister at Leith."""
208.26	And he says,
210.26	"""And did you take the shortcut down Inverleith Row"
212.26	"to get here to the infirmary?"""
214.26	"She says, ""I did."""
216.26	"And he says, ""Would you still be working at the linoleum factory?"""
220.26	"And she says, ""I am."""
222.26	And Bell then goes on to explain to the students.
224.26	"He says, ""You see, when she said, 'Good morning,'"
227.26	I picked up her Fife accent.
229.26	And the nearest ferry crossing from Fife is from Burntisland.
232.26	And so she must have taken the ferry over.
235.26	You notice that the coat she's carrying
237.26	is too small for the child who is with her,
240.26	and therefore, she started out the journey with two children,
243.26	but dropped one off along the way.
246.26	You notice the clay on the soles of her feet.
248.26	Such red clay is not found within a hundred miles of Edinburgh,
252.26	except in the botanical gardens.
254.26	And therefore, she took a short cut down Inverleith Row
257.26	to arrive here.
259.26	And finally, she has a dermatitis
261.26	on the fingers of her right hand,
263.26	a dermatitis that is unique
265.26	"to the linoleum factory workers in Burntisland."""
268.26	And when Bell actually strips the patient,
270.26	begins to examine the patient,
272.26	you can only imagine how much more he would discern.
275.26	And as a teacher of medicine, as a student myself,
278.26	I was so inspired by that story.
280.26	But you might not realize
282.26	that our ability to look into the body
284.26	in this simple way, using our senses,
286.26	is quite recent.
288.26	The picture I'm showing you is of Leopold Auenbrugger
291.26	who, in the late 1700s,
293.26	discovered percussion.
295.26	And the story is that Leopold Auenbrugger
298.26	was the son of an innkeeper.
301.26	And his father used to go down into the basement
304.26	to tap on the sides of casks of wine
306.26	to determine how much wine was left
308.26	and whether to reorder.
310.26	And so when Auenbrugger became a physician,
312.26	he began to do the same thing.
314.26	He began to tap on the chests of his patients,
317.26	on their abdomens.
319.26	And basically everything we know about percussion,
321.26	which you can think of as an ultrasound of its day --
325.26	organ enlargement, fluid around the heart, fluid in the lungs,
328.26	abdominal changes --
330.26	all of this he described in this wonderful manuscript
332.26	"""Inventum Novum,"" ""New Invention,"""
335.26	which would have disappeared into obscurity,
337.26	except for the fact that this physician, Corvisart,
340.26	a famous French physician --
342.26	famous only because he was physician to this gentleman --
345.26	Corvisart repopularized and reintroduced the work.
349.26	And it was followed a year or two later
351.26	by Laennec discovering the stethoscope.
354.26	Laennec, it is said, was walking in the streets of Paris
357.26	and saw two children playing with a stick.
359.26	One was scratching at the end of the stick,
362.26	another child listened at the other end.
364.26	And Laennec thought this would be a wonderful way
366.26	to listen to the chest or listen to the abdomen
368.26	"using what he called ""the cylinder."""
370.26	Later he renamed it the stethoscope.
372.26	And that is how stethoscope and auscultation was born.
376.26	So within a few years,
378.26	in the late 1800s, early 1900s,
380.26	all of a sudden,
382.26	the barber surgeon had given way
385.26	to the physician who was trying to make a diagnosis.
388.26	If you'll recall, prior to that time,
390.26	no matter what ailed you, you went to see the barber surgeon
393.26	who wound up cupping you,
395.26	bleeding you, purging you.
397.26	And, oh yes, if you wanted,
399.26	he would give you a haircut -- short on the sides, long in the back --
402.26	and pull your tooth while he was at it.
404.26	He made no attempt at diagnosis.
406.26	In fact, some of you might well know
408.26	that the barber pole, the red and white stripes,
411.26	represents the blood bandages of the barber surgeon,
414.26	and the receptacles on either end
416.26	represent the pots in which the blood was collected.
419.26	But the arrival of auscultation and percussion
422.26	represented a sea change,
424.26	a moment when physicians were beginning to look inside the body.
427.26	And this particular painting, I think,
430.26	represents the pinnacle, the peak, of that clinical era.
433.26	This is a very famous painting:
435.26	"""The Doctor"" by Luke Fildes."
438.26	Luke Fildes was commissioned to paint this by Tate,
441.26	who then established the Tate Gallery.
443.26	And Tate asked Fildes to paint a painting
445.26	of social importance.
447.26	And it's interesting that Fildes picked this topic.
450.26	Fildes' oldest son, Philip,
453.26	died at the age of nine on Christmas Eve
456.26	after a brief illness.
