startsecond	text
12.16	College presidents are not the first people who come to mind
16.16	when the subject is the uses of the creative imagination.
19.16	So I thought I'd start by telling you how I got here.
23.16	The story begins in the late '90s.
25.16	I was invited to meet with leading educators
28.16	from the newly free Eastern Europe and Russia.
32.16	They were trying to figure out how to rebuild their universities.
36.16	Since education under the Soviet Union
39.16	was essentially propaganda
41.16	serving the purposes of a state ideology,
44.16	they appreciated that it would take wholesale transformations
49.16	if they were to provide an education
51.16	worthy of free men and women.
54.16	Given this rare opportunity
56.16	to start fresh,
58.16	they chose liberal arts
60.16	as the most compelling model
62.16	because of its historic commitment
64.16	to furthering its students' broadest intellectual,
67.16	and deepest ethical potential.
70.16	Having made that decision
72.16	they came to the United States,
74.16	home of liberal arts education,
76.16	to talk with some of us
78.16	most closely identified
80.16	with that kind of education.
82.16	They spoke with a passion, an urgency,
86.16	an intellectual conviction
88.16	that, for me, was a voice I had not heard in decades,
93.16	a dream long forgotten.
95.16	For, in truth, we had moved light years
100.16	from the passions that animated them.
104.16	But for me, unlike them,
108.16	in my world, the slate was not clean,
112.16	and what was written on it was not encouraging.
116.16	In truth, liberal arts education
119.16	no longer exists --
121.16	at least genuine liberal arts education -- in this country.
125.16	We have professionalized liberal arts to the point
128.16	where they no longer provide the breadth of application
132.16	and the enhanced capacity for civic engagement
135.16	that is their signature.
137.16	Over the past century
139.16	the expert has dethroned the educated generalist
143.16	to become the sole model
146.16	of intellectual accomplishment. (Applause)
148.16	Expertise has for sure had its moments.
153.16	But the price of its dominance is enormous.
157.16	Subject matters are broken up
159.16	into smaller and smaller pieces,
162.16	with increasing emphasis on the technical and the obscure.
166.16	We have even managed to make the study of literature arcane.
171.16	You may think you know what is going on
173.16	in that Jane Austen novel --
175.16	that is, until your first encounter
178.16	with postmodern deconstructionism.
181.16	The progression of today's college student
184.16	is to jettison every interest except one.
189.16	And within that one, to continually narrow the focus,
193.16	learning more and more about less and less;
197.16	this, despite the evidence all around us
200.16	of the interconnectedness of things.
203.16	Lest you think I exaggerate,
206.16	here are the beginnings of the A-B-Cs of anthropology.
211.16	As one moves up the ladder,
213.16	values other than technical competence
215.16	are viewed with increasing suspicion.
218.16	Questions such as,
220.16	"""What kind of a world are we making?"
223.16	What kind of a world should we be making?
226.16	"What kind of a world can we be making?"""
229.16	are treated with more and more skepticism,
233.16	and move off the table.
235.16	In so doing, the guardians of secular democracy
239.16	in effect yield the connection
243.16	between education and values
245.16	to fundamentalists,
247.16	who, you can be sure,
249.16	have no compunctions about using education
252.16	to further their values:
