startsecond	text
12.708	Chris Anderson: Hello.
12.708	Welcome to this TED Dialogues.
16.486	It's the first of a series
16.486	that's going to be done
20.097	in response to the current
20.097	political upheaval.
24.085	I don't know about you;
25.278	I've become quite concerned about
25.278	the growing divisiveness in this country
28.913	and in the world.
30.433	No one's listening to each other. Right?
33.384	They aren't.
34.571	I mean, it feels like we need
34.571	a different kind of conversation,
38.331	one that's based on -- I don't know,
38.331	on reason, listening, on understanding,
44.283	on a broader context.
46.66	That's at least what we're going to try
46.66	in these TED Dialogues,
49.711	starting today.
50.927	And we couldn't have anyone with us
53.577	who I'd be more excited to kick this off.
56.41	This is a mind right here that thinks
56.41	pretty much like no one else
60.284	on the planet, I would hasten to say.
62.079	I'm serious.
63.262	(Yuval Noah Harari laughs)
64.548	I'm serious.
65.736	He synthesizes history
65.736	with underlying ideas
70.698	in a way that kind of takes
70.698	your breath away.
72.892	So, some of you will know
72.892	"this book, ""Sapiens."""
76.325	"Has anyone here read ""Sapiens""?"
78.092	(Applause)
79.328	I mean, I could not put it down.
82.497	The way that he tells the story of mankind
86.395	through big ideas that really make you
86.395	think differently --
90.221	it's kind of amazing.
91.98	And here's the follow-up,
93.228	which I think is being published
93.228	in the US next week.
96.328	YNH: Yeah, next week.
97.503	"CA: ""Homo Deus."""
98.701	Now, this is the history
98.701	of the next hundred years.
102.341	I've had a chance to read it.
104.215	It's extremely dramatic,
106.629	and I daresay, for some people,
106.629	quite alarming.
111.425	It's a must-read.
112.692	And honestly, we couldn't have
112.692	someone better to help
118.294	make sense of what on Earth
118.294	is happening in the world right now.
122.294	So a warm welcome, please,
122.294	to Yuval Noah Harari.
126.475	(Applause)
134.72	It's great to be joined by our friends
134.72	on Facebook and around the Web.
138.489	Hello, Facebook.
140.09	And all of you, as I start
140.09	asking questions of Yuval,
144.04	come up with your own questions,
145.716	and not necessarily about
145.716	the political scandal du jour,
148.387	but about the broader understanding
148.387	of: Where are we heading?
154.337	You ready? OK, we're going to go.
156.127	So here we are, Yuval:
157.426	New York City, 2017,
157.426	there's a new president in power,
161.17	and shock waves rippling around the world.
164.315	What on Earth is happening?
166.935	YNH: I think the basic thing that happened
169.205	is that we have lost our story.
171.964	Humans think in stories,
174.455	and we try to make sense of the world
174.455	by telling stories.
178.141	And for the last few decades,
179.582	we had a very simple
179.582	and very attractive story
182.476	about what's happening in the world.
184.249	And the story said that,
184.249	oh, what's happening is
187.437	that the economy is being globalized,
190.077	politics is being liberalized,
192.244	and the combination of the two
192.244	will create paradise on Earth,
196.267	and we just need to keep on
196.267	globalizing the economy
199.39	and liberalizing the political system,
201.225	and everything will be wonderful.
203.154	And 2016 is the moment
205.91	when a very large segment,
205.91	even of the Western world,
209.894	stopped believing in this story.
212.324	For good or bad reasons --
212.324	it doesn't matter.
214.48	People stopped believing in the story,
216.725	and when you don't have a story,
216.725	you don't understand what's happening.
221.032	CA: Part of you believes that that story
221.032	was actually a very effective story.
225.023	It worked.
226.241	YNH: To some extent, yes.
227.742	According to some measurements,
229.828	we are now in the best time ever
232.437	for humankind.
233.888	Today, for the first time in history,
236.352	more people die from eating too much
236.352	than from eating too little,
240.789	which is an amazing achievement.
242.585	(Laughter)
245.292	Also for the first time in history,
247.017	more people die from old age
247.017	than from infectious diseases,
251.176	and violence is also down.
253.994	For the first time in history,
255.448	more people commit suicide
255.448	than are killed by crime and terrorism
260.803	and war put together.
262.667	Statistically, you are
262.667	your own worst enemy.
266.851	At least, of all the people in the world,
268.881	you are most likely
268.881	to be killed by yourself --
272.027	(Laughter)
273.318	which is, again,
273.318	very good news, compared --
276.386	(Laughter)
278.034	compared to the level of violence
278.034	that we saw in previous eras.
282.359	CA: But this process
282.359	of connecting the world
284.619	ended up with a large group of people
284.619	kind of feeling left out,
288.542	and they've reacted.
290.197	And so we have this bombshell
292.207	that's sort of ripping
292.207	through the whole system.
294.542	I mean, what do you make
294.542	of what's happened?
297.958	It feels like the old way
297.958	that people thought of politics,
301.26	the left-right divide,
301.26	has been blown up and replaced.
304.14	How should we think of this?
305.761	YNH: Yeah, the old 20th-century
305.761	political model of left versus right
310.169	is now largely irrelevant,
311.9	and the real divide today
311.9	is between global and national,
316.426	global or local.
318.239	And you see it again all over the world
321.12	that this is now the main struggle.
323.289	We probably need completely
323.289	new political models
326.749	and completely new ways
326.749	of thinking about politics.
332.319	In essence, what you can say
332.319	is that we now have global ecology,
337.873	we have a global economy
337.873	but we have national politics,
341.838	and this doesn't work together.
343.599	This makes the political
343.599	system ineffective,
345.849	because it has no control
345.849	over the forces that shape our life.
349.397	And you have basically two solutions
349.397	to this imbalance:
352.7	either de-globalize the economy
352.7	and turn it back into a national economy,
357.298	or globalize the political system.
360.768	CA: So some, I guess
360.768	many liberals out there
365.457	view Trump and his government
365.457	as kind of irredeemably bad,
371.917	just awful in every way.
374.6	Do you see any underlying narrative
374.6	or political philosophy in there
381.047	that is at least worth understanding?
382.875	How would you articulate that philosophy?
384.944	Is it just the philosophy of nationalism?
388.074	YNH: I think the underlying
388.074	feeling or idea
393.498	is that the political system --
393.498	something is broken there.
398.014	It doesn't empower
398.014	the ordinary person anymore.
401.808	It doesn't care so much
401.808	about the ordinary person anymore,
405.332	and I think this diagnosis
405.332	of the political disease is correct.
410.175	With regard to the answers,
410.175	I am far less certain.
413.558	I think what we are seeing
413.558	is the immediate human reaction:
417.065	if something doesn't work, let's go back.
419.647	And you see it all over the world,
421.292	that people, almost nobody
421.292	in the political system today,
425.742	has any future-oriented vision
425.742	of where humankind is going.
429.959	Almost everywhere,
429.959	you see retrograde vision:
433.009	"""Let's make America great again,"""
435.079	like it was great -- I don't know --
435.079	in the '50s, in the '80s, sometime,
438.532	let's go back there.
439.726	And you go to Russia
439.726	a hundred years after Lenin,
444.471	Putin's vision for the future
446.366	is basically, ah, let's go back
446.366	to the Tsarist empire.
