startsecond	text
13.185	I have a two-year-old daughter named Naya
15.686	who is under the mistaken impression
17.576	that this conference
17.576	is named in honor of her father.
21.163	(Laughter)
22.486	Who am I to contradict my baby girl?
25.495	As many of you know, there's something
25.495	about becoming a parent
29.389	that concentrates the mind
29.389	on long-term problems like climate change.
34.404	It was the birth of my daughter
34.404	that inspired me
36.893	to launch this climate organization,
39.471	in order to counteract the excessive
39.471	polarization of this issue
43.366	in the United States,
44.699	and to find a conservative
44.699	pathway forward.
49.97	Yes, folks, a Republican
49.97	climate solution is possible,
54.627	and you know what?
55.976	It may even be better.
58.332	(Laughter)
59.967	Let me try to prove that to you.
63.089	What we really need
63.089	is a killer app to climate policy.
67.687	In the technology world, a killer app
67.687	is an application so transformative
72.128	that it creates its own market,
73.631	like Uber.
75.22	In the climate world,
76.871	a killer app is a new
76.871	solution so promising
81.82	that it can break through
81.82	the seemingly insurmountable
85.391	barriers to progress.
87.276	These include the psychological barrier.
90.825	Climate advocates have long
90.825	been encouraging their fellow citizens
94.062	to make short-term sacrifices now
95.996	for benefits that accrue to other people
98.057	in other countries 30 or 40
98.057	years in the future.
101.425	It just doesn't fly because it runs
101.425	contrary to basic human nature.
106.507	Next is the geopolitical barrier.
109.844	Under the current rules of global trade,
112.136	countries have a strong incentive
112.136	to free ride off the emissions reductions
116.506	of other nations,
117.789	instead of strengthening
117.789	their own programs.
120.045	This has been the curse
121.627	of every international
121.627	climate negotiations, including Paris.
126.243	Finally, we have the partisan barrier.
129.322	Even the most committed countries --
131.417	Germany, the United Kingdom, Canada --
134.641	are nowhere near reducing emissions
134.641	at the required scale and speed.
139.386	Not even close.
140.878	And the partisan climate divide
140.878	is far more acute
145.152	here in the United States.
147.623	We are fundamentally stuck,
149.753	and that is why we need
149.753	a killer app of climate policy
153.337	to break through each of these barriers.
156.57	I'm convinced that the road
156.57	to climate progress in the United States
162.262	runs through the Republican Party
164.901	and the business community.
168.072	So in launching
168.072	the Climate Leadership Council,
170.852	I started by reaching out to a who's who
170.852	of Republican elder statesmen
174.79	and business leaders,
176.004	including James Baker and George Schultz,
179.405	the two most respected Republican
179.405	elder statesmen in America;
183.549	Martin Feldstein and Greg Mankiw,
185.442	the two most respected
185.442	conservative economists in the country;
189.108	and Henry Paulson and Rob Walton,
191.225	two of the most successful
191.225	and admired business leaders.
