startsecond	text
12.62	"So I've been ""futuring,"""
12.62	which is a term I made up --
16.02	(Laughter)
17.3	about three seconds ago.
18.54	I've been futuring for about 20 years,
21.38	and when I first started,
21.38	I would sit down with people,
24.74	"and say, ""Hey,"
24.74	"let's talk 10, 20 years out."""
27.66	"And they'd say, ""Great."""
29.46	And I've been seeing that time horizon
31.98	get shorter and shorter
34.06	and shorter,
35.7	so much so that I met
35.7	with a CEO two months ago
39.1	and I said -- we started
39.1	our initial conversation.
41.5	"He goes, ""I love what you do."
41.5	"I want to talk about the next six months."""
45.26	(Laughter)
47.86	We have a lot of problems
47.86	that we are facing.
51.02	These are civilizational-scale problems.
55.34	The issue though is,
57.42	we can't solve them
59.14	using the mental models
59.14	that we use right now
61.74	to try and solve these problems.
63.34	Yes, a lot of great
63.34	technical work is being done,
66.02	but there is a problem that
66.02	we need to solve for a priori, before,
71.42	if we want to really
71.42	move the needle on those big problems.
74.98	"""Short-termism."""
76.74	Right? There's no marches.
76.74	There's no bracelets.
79.22	There's no petitions that you can sign
79.22	to be against short-termism.
83.1	I tried to put one up, and no one signed.
85.94	It was weird.
87.18	(Laughter)
89.1	But it prevents us from doing so much.
92.14	Short-termism, for many reasons,
94.86	has pervaded every
94.86	nook and cranny of our reality.
97.78	I just want you to take a second
99.38	and just think about an issue
99.38	that you're thinking, working on.
103.22	It could be personal, it could be at work
105.22	or it could be
105.22	move-the-needle world stuff,
107.3	and think about
107.3	how far out you tend to think
109.66	about the solution set for that.
113.74	Because short-termism prevents the CEO
118.18	from buying really
118.18	expensive safety equipment.
121.74	It'll hurt the bottom line.
123.74	So we get the Deepwater Horizon.
126.22	Short-termism prevents teachers
128.98	from spending quality
128.98	one-on-one time with their students.
132.54	So right now in America,
134.7	a high school student
134.7	drops out every 26 seconds.
139.18	Short-termism prevents Congress --
141.94	sorry if there's anyone
141.94	in here from Congress --
144.58	(Laughter)
146.14	or not really that sorry --
148.22	(Laughter)
150.46	from putting money
150.46	into a real infrastructure bill.
153.66	So what we get
153.66	is the I-35W bridge collapse
156.3	over the Mississippi a few years ago,
160.58	It wasn't always like this.
160.58	We did the Panama Canal.
164.42	We pretty much
164.42	have eradicated global polio.
166.7	We did the transcontinental railroad,
166.7	the Marshall Plan.
170.38	And it's not just big, physical
170.38	infrastructure problems and issues.
174.74	Women's suffrage, the right to vote.
176.66	But in our short-termist time,
179.46	where everything seems to happen right now
181.98	and we can only think out
181.98	past the next tweet or timeline post,
186.5	we get hyper-reactionary.
188.54	So what do we do?
190.7	We take people who are fleeing
190.7	their war-torn country,
193.98	and we go after them.
195.26	We take low-level drug offenders,
195.26	and we put them away for life.
198.9	And then we build McMansions
198.9	without even thinking
201.3	about how people are going
201.3	to get between them and their job.
204.19	It's a quick buck.
206.58	Now, the reality is,
206.58	for a lot of these problems,
208.94	there are some technical fixes,
211.74	a lot of them.
212.98	I call these technical fixes
212.98	sandbag strategies.
216.54	So you know there's a storm coming,
218.26	the levee is broken,
218.26	no one's put any money into it,
221.02	you surround your home with sandbags.
222.86	And guess what? It works.
226.42	Storm goes away,
226.42	the water level goes down,
228.46	you get rid of the sandbags,
229.86	and you do this storm
229.86	after storm after storm.
233.74	And here's the insidious thing.
235.94	A sandbag strategy
237.86	can get you reelected.
