startsecond	text
18.33	When I knew I was going to come to speak to you, I thought,
24.33	"""I gotta call my mother."""
26.33	I have a little Cuban mother -- she's about that big.
29.33	Four feet. Nothing larger than the sum of her figurative parts.
32.33	You still with me? (Laughter)
34.33	I called her up.
35.33	"""Hello, how're you doing, baby?"""
37.33	"""Hey, ma, I got to talk to you."""
39.33	"""You're talking to me already. What's the matter?"""
41.33	"I said, ""I've got to talk to a bunch of nice people."""
43.33	"""You're always talking to nice people, except when you went"
45.33	"to the White House."""
46.33	"""Ma, don't start!"""
50.33	And I told her I was coming to TED, and she said,
53.33	"""What's the problem?"""
54.33	"And I said, ""Well, I'm not sure."""
56.33	"I said, ""I have to talk to them about stories."
62.33	"It's 'Technology, Entertainment and Design.'"""
66.33	"And she said, ""Well, you design a story when you make it up,"
72.33	it's entertainment when you tell it,
74.33	"and you're going to use a microphone."""
76.33	(Laughter)
79.33	"I said, ""You're a peach, ma. Pop there?"""
81.33	"""What's the matter? The pearls of wisdom"
83.33	"leaping from my lips like lemmings is no good for you?"""
86.33	(Laughter)
88.33	Then my pop got on there.
89.33	My pop, he's one of the old souls, you know --
92.33	old Cuban man from Camaguey.
95.33	Camaguey is a province in Cuba.
97.33	He's from Florida.
99.33	He was born there in 1924.
101.33	He grew up in a bohio of dirt floors,
105.33	and the structure was the kind used by the Tainos,
108.33	our old Arawak ancestors.
111.33	My father is at once quick-witted, wickedly funny,
118.33	and then poignancy turns on a dime and leaves you breathless.
126.33	"""Papi, help."""
129.33	"""I already heard your mother. I think she's right."""
132.33	(Laughter)
134.33	"""After what I just told you?"""
136.33	My whole life, my father's been there.
138.33	So we talked for a few minutes, and he said,
140.33	"""Why don't you tell them what you believe?"""
142.33	I love that, but we don't have the time.
145.33	Good storytelling is crafting a story that someone wants to listen to.
151.33	Great story is the art of letting go.
156.33	So I'm going to tell you a little story.
158.33	Remember, this tradition comes to us
160.33	not from the mists of Avalon, back in time, but further still,
164.33	before we were scratching out these stories on papyrus,
167.33	or we were doing the pictographs on walls in moist, damp caves.
173.33	Back then, we had an urge, a need, to tell the story.
176.33	When Lexus wants to sell you a car, they're telling you a story.
181.33	Have you been watching the commercials?
183.33	Because every one of us has this desire, for once -- just once --
188.33	to tell our story and have it heard.
191.33	There are stories you tell from stages.
195.33	There's stories that you may tell
199.33	in a small group of people with some good wine.
202.33	And there's stories you tell late at night to a friend,
207.33	maybe once in your life.
211.33	And then there are stories that we whisper into a Stygian darkness.
219.33	I'm not telling you that story.
221.33	I'm telling you this one.
223.33	"It's called, ""You're Going to Miss Me."""
225.33	It's about human connection.
228.33	My Cuban mother, which I just briefly introduced you to
230.33	in that short character sketch,
234.33	came to the United States one thousand years ago.
238.33	I was born in 19 -- I forget, and I came to this country
242.33	with them in the aftermath of the Cuban revolution.
244.33	We went from Havana, Cuba to Decatur, Georgia.
248.33	And Decatur, Georgia's a small Southern town.
250.33	And in that little Southern town, I grew up,
253.33	and grew up hearing these stories.
255.33	But this story only happened a few years ago.
257.33	I called my mom.
259.33	It was a Saturday morning.
261.33	And I was calling about how to make ajiaco. It's a Cuban meal.
263.33	It's delicious. It's savory.
265.33	It makes spit froth in the little corners of your mouth --
267.33	is that enough? It makes your armpits juicy, you know?
270.33	That kind of food, yeah.
273.33	This is the sensory part of the program, people.
276.33	"I called my mother, and she said, ""Carmen, I need you to come, please."
279.33	I need to go to the mall, and you know your father now,
282.33	he takes a nap in the afternoon, and I got to go.
284.33	"I got an errand to run."""
285.33	Let me parenthetically pause here and tell you --
287.33	Esther, my mother, had stopped driving several years ago,
289.33	to the collective relief of the entire city of Atlanta.
292.33	Any vehicular outing with that woman from the time I was a young child,
294.33	guys, naturally included flashing, blue lights.
298.33	But she'd become adept at dodging the boys in blue,
302.33	and when she did meet them, oh, she had wonderful, well, rapport.
309.33	"""Ma'am, did you know that was a light you just ran?"""
313.33	(Spanish)
316.33	"""You don't speak English?"""
318.33	"""No."""
320.33	(Laughter)
321.33	But eventually, every dog has its day,
323.33	and she ended up in traffic court,
325.33	where she bartered with the judge for a discount.
328.33	There's a historical marker.
330.33	But now she was a septuagenarian, she'd stopped driving.
333.33	And that meant that everyone in the family had to sign up
337.33	to take her to have her hair dyed, you know,
340.33	that peculiar color of blue that matches her polyester pants suit,
343.33	you know, same color as the Buick.
345.33	Anybody? All right.
347.33	Little picks on the legs, where she does her needlepoint, and leaves little loops.
351.33	Rockports -- they're for this.
353.33	That's why they call them that.
355.33	(Laughter)
356.33	This is her ensemble.
358.33	And this is the woman that wants me to come on a Saturday morning
360.33	when I have a lot to do, but it doesn't take long because Cuban guilt is a weighty thing.
365.33	I'm not going political on you but ... And so, I go to my mother's.
369.33	I show up. She's in the carport.
371.33	Of course, they have a carport.
372.33	The kind with the corrugated roof, you know.
374.33	The Buick's parked outside,
375.33	and she's jingling, jangling a pair of keys.
377.33	"""I got a surprise for you, baby!"""
379.33	"""We taking your car?"""
381.33	"""Not we, I."""
383.33	And she reaches into her pocket and pulls out a catastrophe.
388.33	Somebody's storytelling. Interactive art. You can talk to me.
391.33	Oh, a driver's license, a perfectly valid driver's license.
393.33	Issued, evidently, by the DMV in her own county of Gwinnett.
397.33	Blithering fucking idiots.
399.33	(Laughter)
400.33	"I said, ""Is that thing real?"""
401.33	"""I think so."""
402.33	"""Can you even see?"""
403.33	"""I guess I must."""
404.33	"""Oh, Jesus."""
405.33	She gets into the car -- she's sitting on two phone books.
408.33	I can't even make this part up because she's that tiny.
410.33	She's engineered an umbrella so she can -- bam! -- slam the door.
413.33	Her daughter, me, the village idiot with the ice cream cone
415.33	in the middle of her forehead, is still standing there, slack-jawed.
418.33	"""You coming? You no coming?"""
419.33	"""Oh, my God."" I said, ""OK, fine. Does pop know you're driving?"""
422.33	"""Are you kidding me?"""
424.33	"""How are you doing it?"""
425.33	"""He's got to sleep sometime."""
428.33	And so we left my father fast asleep, because I knew he'd kill me
431.33	if I let her go by herself, and we get in the car.
433.33	Puts it in reverse. Fifty-five out of the driveway, in reverse.
436.33	I am buckling in seatbelts from the front.
438.33	I'm yanking them in from the back. I'm doing double knots.
441.33	I mean, I've got a mouth as dry as the Kalahari Desert.
443.33	I've got a white-knuckle grip on the door. You know what I'm talking about?
446.33	And she's whistling, and finally I do the kind of
450.33	birth breathing -- you know, that one?
452.33	Only a couple of women are going uh-huh, uh-huh, uh-huh. Right.
455.33	"And I said, ""Ma, would you slow down?"""
456.33	Because now she's picked up the Highway 285,
459.33	the perimeter around Atlanta, which encompasses now --
462.33	there's seven lanes, she's on all of them, y'all.
465.33	"I said, ""Ma, pick a lane!"""
467.33	"""They give you seven lanes, they expect you to use them."""
469.33	And there she goes, right.
472.33	I don't believe for a minute she has been out and not been stopped.
475.33	So, I think, hey, we can talk. It'll be a diversion.
477.33	It'll help my breathing. It'll do something for my pulse, maybe.
480.33	"""Mommy, I know you have been stopped."""
482.33	"""No, no, what you talking about?"""
484.33	"""You have a license. How long have you been driving?"""
485.33	"""Four or five days."""
486.33	"""Yeah. And you haven't been stopped?"""
487.33	"""I did not get a ticket."""
490.33	"I said, ""Yeah, yeah, yeah, yeah, but come on, come on, come on."""
494.33	"""OK, so I stopped at a light"
496.33	"and there's a guy, you know, in the back."""
498.33	"""Would this guy have, like, a blue uniform"
