startsecond	text
0	Translator: Morton Bast
0	Reviewer: Thu-Huong Ha
15.682	You know, my favorite part of being a dad
18.212	is the movies I get to watch.
21.471	I love sharing my favorite movies with my kids,
23.352	and when my daughter was four,
25.948	"we got to watch ""The Wizard of Oz"" together."
28.838	It totally dominated her imagination for months.
32.237	Her favorite character was Glinda, of course.
35.455	It gave her a great excuse to wear a sparkly dress
37.515	and carry a wand.
39.169	But you watch that movie enough times,
41.578	and you start to realize how unusual it is.
43.011	Now we live today, and are raising our children,
45.863	in a kind of children's-fantasy-spectacular-industrial complex.
52.213	"But ""The Wizard of Oz"" stood alone."
53.958	It did not start that trend.
56.145	Forty years later was when the trend really caught on,
59.567	with, interestingly, another movie
61.916	that featured a metal guy
64.051	and a furry guy
65.435	rescuing a girl by dressing up as the enemy's guards.
70.646	Do you know what I'm talking about? (Laughter)
73.087	Yeah.
74.562	Now, there's a big difference between these two movies,
78.285	"a couple of really big differences between ""The Wizard of Oz"""
80.322	and all the movies we watch today.
81.255	"One is there's very little violence in ""The Wizard of Oz."""
84.56	The monkeys are rather aggressive, as are the apple trees.
89.805	"But I think if ""The Wizard of Oz"" were made today,"
93.412	"the wizard would say, ""Dorothy, you are the savior of Oz"
97.838	that the prophecy foretold.
99.6	Use your magic slippers to defeat
101.674	"the computer-generated armies of the Wicked Witch."""
105.287	But that's not how it happens.
106.939	"Another thing that's really unique about ""The Wizard of Oz"""
109.341	to me is that all of the most heroic
112.644	and wise and even villainous characters
115.974	are female.
119.486	Now I started to notice this
121.6	"when I actually showed ""Star Wars"" to my daughter,"
124.745	which was years later, and the situation was different.
127.281	At that point I also had a son.
130.42	He was only three at the time.
132.147	He was not invited to the screening. He was too young for that.
136.293	But he was the second child,
137.614	and the level of supervision had plummeted. (Laughter)
141.387	So he wandered in,
145.001	and it imprinted on him
149.03	like a mommy duck does to its duckling,
154.672	and I don't think he understands what's going on,
158.451	but he is sure soaking in it.
161.978	And I wonder what he's soaking in.
163.347	Is he picking up on the themes of courage
165.825	and perseverance and loyalty?
167.942	Is he picking up on the fact that Luke
170.922	joins an army to overthrow the government?
175.816	Is he picking up on the fact that
177.472	there are only boys in the universe
180.575	except for Aunt Beru, and of course this princess,
183.764	who's really cool, but who kind of waits around through most of the movie
188.214	so that she can award the hero with a medal and a wink
191.443	to thank him for saving the universe, which he does
193.996	by the magic that he was born with?
197.222	"Compare this to 1939 with ""The Wizard of Oz."""
200.188	How does Dorothy win her movie?
202.817	By making friends with everybody
205.767	and being a leader.
207.544	That's kind of the world I'd rather raise my kids in --
210.85	Oz, right? -- and not the world of dudes fighting,
214.74	which is where we kind of have to be.
216.643	Why is there so much Force -- capital F, Force --
220.423	in the movies we have for our kids,
222.11	and so little yellow brick road?
224.555	There is a lot of great writing about the impact
227.972	that the boy-violent movie has on girls,
232.219	and you should do that reading. It's very good.
234.837	I haven't read as much on how boys are picking up on this vibe.
239.711	I know from my own experience that
242.261	Princess Leia did not provide the adequate context
247.886	that I could have used in navigating the adult world
252.015	that is co-ed. (Laughter)
256.616	I think there was a first-kiss moment
259.806	when I really expected the credits to start rolling
