startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.734	Other people. Everyone is interested in other people.
18.543	Everyone has relationships with other people,
20.666	and they're interested in these relationships
22.258	for a variety of reasons.
24.113	Good relationships, bad relationships,
26.125	annoying relationships, agnostic relationships,
29.271	and what I'm going to do is focus on the central piece
32.695	of an interaction that goes on in a relationship.
35.998	So I'm going to take as inspiration the fact that we're all
38.334	interested in interacting with other people,
40.759	I'm going to completely strip it of all its complicating features,
44.591	and I'm going to turn that object, that simplified object,
48.485	into a scientific probe, and provide the early stages,
52.635	embryonic stages of new insights into what happens
55.084	in two brains while they simultaneously interact.
58.734	But before I do that, let me tell you a couple of things
61.027	that made this possible.
62.726	The first is we can now eavesdrop safely
65.507	on healthy brain activity.
68.218	Without needles and radioactivity,
70.795	without any kind of clinical reason, we can go down the street
73.658	and record from your friends' and neighbors' brains
76.785	while they do a variety of cognitive tasks, and we use
79.323	a method called functional magnetic resonance imaging.
83.057	You've probably all read about it or heard about in some
85.382	incarnation. Let me give you a two-sentence version of it.
89.76	So we've all heard of MRIs. MRIs use magnetic fields
93.244	and radio waves and they take snapshots of your brain
95.273	or your knee or your stomach,
97.634	grayscale images that are frozen in time.
99.679	In the 1990s, it was discovered you could use
102	the same machines in a different mode,
104.659	and in that mode, you could make microscopic blood flow
107.005	movies from hundreds of thousands of sites independently in the brain.
110.305	Okay, so what? In fact, the so what is, in the brain,
113.505	changes in neural activity, the things that make your brain work,
117.337	the things that make your software work in your brain,
119.347	are tightly correlated with changes in blood flow.
121.836	You make a blood flow movie, you have an independent
123.809	proxy of brain activity.
126.148	This has literally revolutionized cognitive science.
129.182	Take any cognitive domain you want, memory,
131.173	motor planning, thinking about your mother-in-law,
133.314	getting angry at people, emotional response, it goes on and on,
137.029	put people into functional MRI devices, and
140.118	image how these kinds of variables map onto brain activity.
143.501	It's in its early stages, and it's crude by some measures,
146.35	but in fact, 20 years ago, we were at nothing.
148.918	You couldn't do people like this. You couldn't do healthy people.
151.277	That's caused a literal revolution, and it's opened us up
153.765	to a new experimental preparation. Neurobiologists,
156.583	as you well know, have lots of experimental preps,
160.343	worms and rodents and fruit flies and things like this.
163.484	And now, we have a new experimental prep: human beings.
166.881	We can now use human beings to study and model
170.642	the software in human beings, and we have a few
173.592	burgeoning biological measures.
176.427	Okay, let me give you one example of the kinds of experiments that people do,
180.314	and it's in the area of what you'd call valuation.
182.991	Valuation is just what you think it is, you know?
185.126	If you went and you were valuing two companies against
187.93	one another, you'd want to know which was more valuable.
190.666	Cultures discovered the key feature of valuation thousands of years ago.
194.545	If you want to compare oranges to windshields, what do you do?
197.235	Well, you can't compare oranges to windshields.
199.591	They're immiscible. They don't mix with one another.
201.846	So instead, you convert them to a common currency scale,
204.197	put them on that scale, and value them accordingly.
206.903	Well, your brain has to do something just like that as well,
210.339	and we're now beginning to understand and identify
212.827	brain systems involved in valuation,
214.964	and one of them includes a neurotransmitter system
217.596	whose cells are located in your brainstem
220.228	and deliver the chemical dopamine to the rest of your brain.
223.403	I won't go through the details of it, but that's an important
225.845	discovery, and we know a good bit about that now,
228.002	and it's just a small piece of it, but it's important because
230.232	those are the neurons that you would lose if you had Parkinson's disease,
233.507	and they're also the neurons that are hijacked by literally
235.523	every drug of abuse, and that makes sense.
237.755	Drugs of abuse would come in, and they would change
240.091	the way you value the world. They change the way
241.88	you value the symbols associated with your drug of choice,
245.079	and they make you value that over everything else.
247.593	Here's the key feature though. These neurons are also
250.614	involved in the way you can assign value to literally abstract ideas,
254.115	and I put some symbols up here that we assign value to
256.156	for various reasons.
258.876	We have a behavioral superpower in our brain,
261.565	and it at least in part involves dopamine.
