startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
13.204	Good afternoon, I'm proud
13.204	to be here at TEDxKrakow.
16.329	I'll try to speak a little bit today
16.329	about a phenomenon
19.35	which can, and actually is
19.35	changing the world,
22.376	and whose name is people power.
24.392	I'll start with an anecdote,
25.924	or for those of you
25.924	who are Monty Python lovers,
29.071	a Monty Python type of sketch.
30.542	Here it is.
31.597	It is December 15, 2010.
34.756	Somebody gives you a bet:
34.756	you will look at a crystal ball,
38.262	and you will see the future;
38.262	the future will be accurate.
40.953	But you need to share it with the world.
42.897	OK, curiosity killed the cat,
42.897	you take the bet,
46.019	you look at the crystal ball.
47.553	One hour later, you're sitting
47.553	in a building of the national TV,
51.116	in a top show, and you tell the story.
53.672	Before the end of 2011,
56.78	Ben Ali, and Mubarak,
56.78	and Gaddafi would be down,
60.953	and prosecuted.
62.705	Saleh of Yemen and Assad of Syria
65.221	would be either challenged,
65.221	or already on their knees.
68.683	Osama bin Laden would be dead,
70.701	and Ratko Mladic would be in the Hague.
73.421	Now, the anchor watches you
73.421	with a strange gaze on his face.
76.991	And then, on top of it you add:
78.833	"""And thousands of young people"
78.833	from Athens, Madrid and New York
82.722	will demonstrate for social justice,
82.722	"claiming they are inspired by Arabs."""
88.007	Next thing you know,
88.007	two guys in white appear,
90.587	they give you the strange t-shirt,
92.825	take you to the nearest
92.825	mental institution.
94.904	So I would like to speak a little bit
96.791	about the phenomenon which is behind
96.791	what already seems to be
100.664	a very bad year for bad guys.
103.379	And this phenomenon
103.379	is called people power.
106.78	Well, people power
106.78	has been there for a while.
108.947	It helped Gandhi kick
108.947	the Brits from India,
111.942	it helped Martin Luther King
111.942	win his historic racial struggle.
116.073	It helped a local, Lech Walesa,
118.46	to kick out one million
118.46	Soviet troops from Poland,
121.88	and in beginning the end
121.88	of the Soviet Union as we know it.
125.102	So what's new in it?
127.157	What seems to be very new,
128.765	which is the idea I would like
128.765	to share with you today,
131.361	is that there is a set of rules and skills
133.823	which can be learned and taught
136.305	in order to perform
136.305	successful nonviolent struggle.
139.753	If this is true, we can help
139.753	these movements.
143.531	Well, the first one - analytic skills.
146.374	I'll try where it all started
146.374	in the Middle East.
149.224	And for so many years,
150.846	we were living with a completely wrong
150.846	perception of the Middle East.
155.274	It was looking like the frozen region.
157.201	Literally a refrigerator.
158.934	And there were only
158.934	two types of meal there.
161.401	Steak, which stands for a Mubarak-Ben Ali
161.401	type of military police dictatorship,
167.279	or a potato, which stands for
167.279	a Tehran type of theocracies.
170.957	And everybody was amazed
170.957	when the refrigerator opened,
174.291	and millions of young,
174.291	mainly secular people
177.246	stepped out to do the change.
179.32	Guess what - they didn't watch
179.32	the demographics.
182.731	What is the average age
182.731	of an Egyptian? 24.
185.147	How long was Mubarak in power? 31.
187.53	So, this system was just
187.53	obsolete, they expired.
191.437	And young people of the Arab world
191.437	have awakened one morning,
194.871	and understood that power
194.871	lies in their hands.
198.226	The rest is the year in front of us.
200.273	And guess what? The same Generation Y,
203.145	with their rules, with their tools,
203.145	with their games,
206.051	and with their language,
206.051	which sounds a little bit strange to me.
209.389	I'm 38 now.
211.257	And can you look at the age
211.257	of the people on the streets of Europe?
214.794	It seems that Generation Y is coming.
219.025	Now, let me set another example.
221.738	I'm meeting different people
221.738	throughout the world,
224.119	and they are, you know, academics,
224.119	and professors, and doctors,
227.27	and they will always talk conditions.
229.168	"They will say: ""People power will work"
229.168	"only if the regime is not too oppressive."""
233.221	"They will say: ""People power will work,"
235.23	if the annual income of the country
235.23	"is between X and Z."""
239.07	"They will say: ""People power will work"
239.07	"only if there is a foreign pressure."""
242.744	"They will say: ""People power"
