startsecond	text
15.26	I want you to put off your preconceptions,
18.26	your preconceived fears and thoughts about reptiles.
23.26	Because that is the only way I'm going to get my story across to you.
26.26	And by the way, if I come across as a sort of
29.26	rabid, hippie conservationist,
31.26	it's purely a figment of your imagination.
34.26	(Laughter)
39.26	Okay. We are actually the first species on Earth
42.26	to be so prolific to actually threaten our own survival.
47.26	And I know we've all seen images enough to make us numb,
50.26	of the tragedies that we're perpetrating on the planet.
55.26	We're kind of like greedy kids, using it all up, aren't we?
57.26	And today is a time for me to talk to you about water.
63.26	It's not only because we like to drink lots of it,
66.26	and its marvelous derivatives, beer, wine, etc.
71.26	And, of course, watch it fall from the sky
73.26	and flow in our wonderful rivers,
76.26	but for several other reasons as well.
78.26	When I was a kid, growing up in New York,
80.26	I was smitten by snakes, the same way most kids are
82.26	smitten by tops, marbles, cars, trains, cricket balls.
87.26	And my mother, brave lady,
89.26	was partly to blame,
91.26	taking me to the New York Natural History Museum,
93.26	buying me books on snakes,
95.26	and then starting this infamous career of mine,
99.26	which has culminated in
101.26	of course, arriving in India 60 years ago,
105.26	brought by my mother, Doris Norden,
107.26	and my stepfather, Rama Chattopadhyaya.
109.26	It's been a roller coaster ride.
113.26	Two animals, two iconic reptiles
115.26	really captivated me very early on.
118.26	One of them was the remarkable gharial.
121.26	This crocodile, which grows to almost 20 feet long
123.26	in the northern rivers,
125.26	and this charismatic snake, the king cobra.
130.26	What my purpose of the talk today really is,
132.26	is to sort of indelibly scar your minds
135.26	with these charismatic and majestic creatures.
138.26	Because this is what you will take away from here,
141.26	a reconnection with nature, I hope.
146.26	The king cobra is quite remarkable for several reasons.
149.26	What you're seeing here is very recently shot images
152.26	in a forest nearby here,
154.26	of a female king cobra making her nest.
156.26	Here is a limbless animal, capable of gathering a huge mound of leaves,
160.26	and then laying her eggs inside,
162.26	to withstand 5 to 10 [meters of rainfall],
166.26	in order that the eggs can incubate over the next 90 days,
169.26	and hatch into little baby king cobras.
171.26	So, she protects her eggs,
173.26	and after three months,
176.26	the babies finally do hatch out.
178.26	A majority of them will die, of course. There is very high mortality
181.26	in little baby reptiles who are just 10 to 12 inches long.
186.26	My first experience with king cobras was in '72
188.26	at a magical place called Agumbe,
191.26	in Karnataka, this state.
194.26	And it is a marvelous rain forest.
197.26	This first encounter
199.26	was kind of like the
201.26	Maasai boy who kills the lion to become a warrior.
205.26	It really changed my life totally.
207.26	And it brought me straight into the conservation fray.
210.26	I ended up starting this research
212.26	and education station in Agumbe,
214.26	which you are all of course invited to visit.
217.26	This is basically a base wherein
219.26	we are trying to gather and learn
221.26	virtually everything about the biodiversity
223.26	of this incredibly complex forest system,
226.26	and try to hang on to what's there,
228.26	make sure the water sources are protected and kept clean,
231.26	and of course, having a good time too.
