startsecond	text
16.26	(Music)
20.26	♫ My age is three hundred ♫
22.26	♫ and seventy-two ♫
25.26	♫ I think with the deepest regret ♫
30.26	♫ How I used to pick up
32.26	and voraciously chew ♫
35.26	♫ the dear little boys
38.26	that I met ♫
40.26	♫ I've eaten them raw
42.26	in their holiday suits, ♫
45.26	♫ Eaten them
47.26	curried with rice, ♫
51.26	♫ I've eaten them baked
53.26	in their jackets and boots, ♫
56.26	♫ And found them exceedingly nice. ♫
61.26	♫ But now that my jaws
63.26	are too weak for such fare, ♫
66.26	♫ I think it's increasingly rude ♫
72.26	♫ To do such a thing
74.26	when I'm quite well aware ♫
77.26	♫ Little boys do not like
79.26	being chewed. ♫
81.26	♫ Little boys do not like
84.26	being chewed. ♫
86.26	(Music)
132.26	♫ So now I contentedly live upon eels, ♫
136.26	♫ And try to do nothing amiss ♫
142.26	♫ And pass all the time
144.26	I can spare from my meals ♫
147.26	♫ In innocent slumber like this, ♫
153.26	♫ Innocent slumber
157.26	like this. ♫
164.26	(Applause)
176.26	I suppose I owe you an explanation.
180.26	I've been working on a project for the last six years
182.26	adapting children's poetry to music.
184.26	And that's a poem by Charles Edward Carryl,
187.26	who was a stockbroker in New York City
190.26	for 45 years,
192.26	but in the evenings, he wrote nonsense for his children.
195.26	And this book was one of the most famous books in America
198.26	for about 35 years.
200.26	"""The Sleepy Giant,"" which is the song that I just sang,"
204.26	is one of his poems.
206.26	Now, we're going to do
208.26	other poems for you,
210.26	and here's a preview of some of the poets.
212.26	This is Rachel Field,
216.26	Robert Graves --
218.26	a very young Robert Graves --
222.26	Christina Rossetti.
225.26	Ghosts, right?
228.26	Have nothing to say to us,
231.26	obsolete,
233.26	gone --
235.26	not so.
238.26	What I really enjoyed about this project
240.26	is reviving these people's words.
242.26	Taking them off the dead, flat pages.
244.26	Bringing them to life,
248.26	bringing them to light.
253.26	So, what we're going to do next
255.26	is a poem that was written by Nathalia Crane.
257.26	Nathalia Crane was a little girl from Brooklyn.
260.26	When she was 10 years old in 1927,
263.26	she published her first book of poems
265.26	"called ""The Janitor's Boy."""
268.26	Here she is.
270.26	And here's her poem.
272.26	(Music)
277.26	♫ Oh, I'm in love
281.26	with the janitor's boy, ♫
285.26	♫ And the janitor's boy
289.26	is in love with me. ♫
294.26	♫ Oh, I'm in love
298.26	with the janitor's boy, ♫
302.26	♫ And the janitor's boy
306.26	is in love with me. ♫
311.26	♫ He's going to hunt for a desert isle ♫
315.26	♫ In our geography. ♫
319.26	♫ A desert isle
321.26	with spicy trees ♫
325.26	♫ Somewhere in Sheepshead Bay; ♫
328.26	♫ A right nice place,
