startsecond	text
12.16	In this rather long sort of marathon presentation,
16.16	I've tried to break it up into three parts:
18.16	the first being a whole lot of examples on how it can be
23.16	a little bit more pleasurable to deal with a computer
27.16	and really address the qualities of the human interface.
30.16	And these will be some simple design qualities
33.16	and they will also be some qualities of, if you will,
36.16	the intelligence of interaction.
38.16	Then the second part will really just be examples of new technologies --
42.16	new media falling very much into that mold.
46.16	Again, I will go through them as fast as possible.
49.16	And then the last one will be some examples
52.16	I've been able to collect, which I think
56.16	illustrate this at least as best I can, in the world of entertainment.
62.16	People have this belief -- and I share most of it --
68.16	that we will be using the TV screens or their equivalents
72.16	for electronic books of the future. But then you think,
75.16	"""My God! What a terrible image you get when you look at still pictures on TV."""
80.16	Well, it doesn't have to be terrible.
82.16	And that is a slide taken from a TV set
86.16	and it was pre-processed to be very sympathetic to the TV medium,
90.16	and it absolutely looks beautiful.
93.16	Well, what's happened? How did people get into this mess?
99.16	Where you are now, all of a sudden,
101.16	sitting in front of personal computers
103.16	and video text -- teletext systems,
107.16	and somewhat horrified by what you see on the screen?
110.16	Well, you have to remember that TV was designed
113.16	to be looked at eight times the distance of the diagonal.
116.16	So you get a 13-inch, 19-inch, whatever, TV,
121.16	and then you should multiply that by eight
123.16	and that's the distance you should sit away from the TV set.
126.16	Now we've put people 18 inches in front of a TV,
131.16	and all the artifacts that none of the original designers expected to be seen,
136.16	all of a sudden, are staring you in the face:
138.16	the shadow mask, the scan lines, all of that.
141.16	And they can be treated very easily;
143.16	there are actually ways of getting rid of them,
146.16	there are actually ways of just making absolutely beautiful pictures.
152.16	I'm talking here a little bit about display technologies.
155.16	Let me talk about how you might input information.
158.16	And my favorite example is always fingers.
162.16	I'm very interested in touch-sensitive displays.
164.16	High-tech, high-touch. Isn't that what some of you said?
168.16	It's certainly a very important medium for input,
175.16	and a lot of people think that fingers are a very low-resolution
178.16	sort of stylus for inputting to a display.
182.16	In fact, they're not: it's really a very, very high-resolution input medium --
186.16	you have to just do it twice, you have to touch the screen
189.16	and then rotate your finger slightly --
192.16	and you can move a cursor with great accuracy.
195.16	And so when you see on the market these systems
197.16	that have just a few light emitting diodes on the side and are very low resolution,
202.16	it's nice that they exist because it still is better than nothing.
206.16	But it, in some sense, misses the point:
208.16	namely, that fingers are a very, very high-resolution input medium.
214.16	Now, what are some of the other advantages?
216.16	Well, the one advantage is that you don't have to pick them up,
220.16	and people don't realize how important that is --
224.16	not having to pick up your fingers to use them. (Laughter)
227.16	When you think for a second of the mouse on Macintosh --
234.16	and I will not criticize the mouse too much --
238.16	when you're typing -- what you have -- you want to now put something --
242.16	first of all, you've got to find the mouse.
244.16	You have to probably stop. Maybe not come to a grinding halt,
249.16	but you've got to sort of find that mouse. Then you find the mouse,
252.16	and you're going to have to wiggle it a little bit
254.16	to see where the cursor is on the screen.
256.16	And then when you finally see where it is,
258.16	then you've got to move it to get the cursor over there,
260.16	"and then -- ""Bang"" -- you've got to hit a button or do whatever."
263.16	That's four separate steps versus typing and then touching
266.16	and typing and just doing it all in one motion --
271.16	or one-and-a-half, depending on how you want to count.
275.16	Again, what I'm trying to do is just illustrate
277.16	the kinds of problems that I think face the designers
281.16	of new computer systems and entertainment systems
284.16	and educational systems
287.16	from the perspective of the quality of that interface.
290.16	And another advantage, of course, of using fingers is you have 10 of them.
295.16	And we have never known how to do this technically,
298.16	so this slide is a fake slide.
300.16	We never succeeded in using ten fingers,
303.16	but there are certain things you can do, obviously,
306.16	with more than one-finger input, which is rather fascinating.
311.16	What we did stumble across was something ...
314.16	Again, which is typical of the computer field,
317.16	is when you have a bug that you can't get rid of you turn it into a feature.
322.16	And maybe ... (Laughter)
324.16	maybe a mouse is a new kind of bug.
328.16	But the bug in our case was in touch-sensitive displays:
332.16	we wanted to be able to draw -- you know, rub your finger
336.16	across the screen to input continuous points --
339.16	and there was just too much friction
341.16	created between your finger and the glass --
