startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
12.939	When I was in my 20s,
14.484	I saw my very first psychotherapy client.
18.484	I was a Ph.D. student
18.484	in clinical psychology at Berkeley.
22.435	She was a 26-year-old woman named Alex.
26.284	Now Alex walked into her first session
26.284	wearing jeans and a big slouchy top,
30.953	and she dropped
30.953	onto the couch in my office
33.064	and kicked off her flats
34.757	and told me she was there
34.757	to talk about guy problems.
38.813	Now when I heard this, I was so relieved.
43.091	My classmate got an arsonist
43.091	for her first client.
46.116	(Laughter)
47.986	And I got a twentysomething
47.986	who wanted to talk about boys.
52.494	This I thought I could handle.
55.328	But I didn't handle it.
57.536	With the funny stories
57.536	that Alex would bring to session,
60.227	it was easy for me just to nod my head
62.226	while we kicked the can down the road.
64.416	"""Thirty's the new 20,"" Alex would say,"
66.696	and as far as I could tell, she was right.
69.726	Work happened later,
69.726	marriage happened later,
71.976	kids happened later,
71.976	even death happened later.
75.847	Twentysomethings like Alex and I
75.847	had nothing but time.
80.794	But before long, my supervisor pushed me
80.794	to push Alex about her love life.
86.414	I pushed back.
88.186	"I said, ""Sure, she's dating down,"
90.701	she's sleeping with a knucklehead,
93.036	but it's not like she's going
93.036	"to marry the guy."""
96.542	And then my supervisor said,
98.275	"""Not yet, but she might marry"
98.275	the next one.
102.644	Besides, the best time
102.644	to work on Alex's marriage
106.507	"is before she has one."""
110.359	That's what psychologists
110.359	"call an ""Aha!"" moment."
113.274	That was the moment I realized,
116.81	Yes, people settle down later
116.81	than they used to,
119.199	but that didn't make Alex's 20s
119.199	a developmental downtime.
123.598	That made Alex's 20s
123.598	a developmental sweet spot,
127.11	and we were sitting there, blowing it.
130.507	That was when I realized
130.507	that this sort of benign neglect
134.192	was a real problem,
134.192	and it had real consequences,
138.189	not just for Alex and her love life
140.603	but for the careers
140.603	and the families and the futures
143.754	of twentysomethings everywhere.
147.635	There are 50 million twentysomethings
147.635	in the United States right now.
151.923	We're talking about 15 percent
151.923	of the population,
155.73	or 100 percent if you consider
158.022	that no one's getting through adulthood
158.022	without going through their 20s first.
162.589	(Laughter)
163.712	Raise your hand if you're in your 20s.
165.782	I really want to see
165.782	some twentysomethings here.
168.092	Oh, yay! You are all awesome.
169.621	If you work with twentysomethings,
169.621	you love a twentysomething,
173.566	you're losing sleep
173.566	over twentysomethings, I want to see —
176.434	Okay. Awesome,
176.434	twentysomethings really matter.
181.002	So, I specialize in twentysomethings
181.002	because I believe
184.613	that every single one of those
188.511	deserves to know what psychologists,
191.74	sociologists, neurologists
191.74	and fertility specialists
195.46	already know:
197.278	that claiming your 20s
197.278	is one of the simplest,
200.468	yet most transformative, things you can do
203.247	for work, for love, for your happiness,
205.942	maybe even for the world.
208.618	This is not my opinion.
210.477	These are the facts.
213.262	We know that 80 percent
213.262	of life's most defining moments
216.44	take place by age 35.
219.813	That means that eight out of 10
222.039	of the decisions and experiences
222.039	"and ""Aha!"" moments"
225.358	that make your life what it is
227.502	will have happened by your mid-30s.
230.872	People who are over 40, don't panic.
232.729	This crowd is going to be fine, I think.
235.799	We know that the first
238.164	has an exponential impact
238.164	on how much money you're going to earn.
242.796	We know that more than half of Americans
244.932	are married or are living with or dating
244.932	their future partner by 30.
249.999	We know that the brain caps off
251.746	its second and last
251.746	growth spurt in your 20s
254.77	as it rewires itself for adulthood,
257.64	which means that whatever it is you want
257.64	to change about yourself,
261.717	now is the time to change it.
264.536	We know that personality
264.536	changes more during your 20s
267.782	than at any other time in life,
270.488	and we know that female fertility
270.488	peaks at age 28,
274.354	and things get tricky after age 35.
278.01	So your 20s are the time
278.01	to educate yourself
280.862	about your body and your options.
284.749	So when we think about child development,
