startsecond	text
15.26	Thank you.
17.26	I'm thrilled to be here.
19.26	I'm going to talk about a new, old material
22.26	that still continues to amaze us,
24.26	and that might impact the way we think
26.26	about material science, high technology --
29.26	and maybe, along the way,
31.26	also do some stuff for medicine and for global health and help reforestation.
34.26	So that's kind of a bold statement.
36.26	I'll tell you a little bit more.
38.26	This material actually has some traits that make it seem almost too good to be true.
41.26	It's sustainable; it's a sustainable material
43.26	that is processed all in water and at room temperature --
45.26	and is biodegradable with a clock,
47.26	so you can watch it dissolve instantaneously in a glass of water
50.26	or have it stable for years.
52.26	It's edible; it's implantable in the human body
54.26	without causing any immune response.
56.26	It actually gets reintegrated in the body.
58.26	And it's technological,
60.26	so it can do things like microelectronics,
62.26	and maybe photonics do.
64.26	And the material
66.26	looks something like this.
69.26	In fact, this material you see is clear and transparent.
72.26	The components of this material are just water and protein.
75.26	So this material is silk.
78.26	So it's kind of different
80.26	from what we're used to thinking about silk.
82.26	So the question is, how do you reinvent something
84.26	that has been around for five millennia?
87.26	The process of discovery, generally, is inspired by nature.
90.26	And so we marvel at silk worms --
92.26	the silk worm you see here spinning its fiber.
95.26	The silk worm does a remarkable thing:
97.26	it uses these two ingredients, protein and water,
99.26	that are in its gland,
101.26	to make a material that is exceptionally tough for protection --
104.26	so comparable to technical fibers
106.26	like Kevlar.
108.26	And so in the reverse engineering process
110.26	that we know about,
112.26	and that we're familiar with,
114.26	for the textile industry,
116.26	the textile industry goes and unwinds the cocoon
119.26	and then weaves glamorous things.
121.26	We want to know how you go from water and protein
123.26	to this liquid Kevlar, to this natural Kevlar.
126.26	So the insight
128.26	is how do you actually reverse engineer this
131.26	and go from cocoon to gland
133.26	and get water and protein that is your starting material.
136.26	And this is an insight
138.26	that came, about two decades ago,
140.26	from a person that I'm very fortunate to work with,
144.26	David Kaplan.
147.26	And so we get this starting material.
149.26	And so this starting material is back to the basic building block.
152.26	And then we use this to do a variety of things --
154.26	like, for example, this film.
156.26	And we take advantage of something that is very simple.
158.26	The recipe to make those films
160.26	is to take advantage of the fact
162.26	that proteins are extremely smart at what they do.
164.26	They find their way to self-assemble.
166.26	So the recipe is simple: you take the silk solution, you pour it,
169.26	and you wait for the protein to self-assemble.
171.26	And then you detach the protein and you get this film,
174.26	as the proteins find each other as the water evaporates.
177.26	But I mentioned that the film is also technological.
179.26	And so what does that mean?
181.26	It means that you can interface it
184.26	with some of the things that are typical of technology,
