startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
14.183	Thank you very much.
17.105	I moved to America 12 years ago
17.105	with my wife Terry and our two kids.
21.53	Actually, truthfully, we moved
21.53	to Los Angeles --
24.34	(Laughter)
27.788	thinking we were moving
27.788	to America, but anyway --
30.146	(Laughter)
32.827	It's a short plane ride
32.827	from Los Angeles to America.
37.109	(Laughter)
39.304	I got here 12 years ago,
41.059	and when I got here,
41.059	I was told various things,
44.869	"like, ""Americans don't get irony."""
48.628	(Laughter)
50.792	Have you come across this idea?
53.038	It's not true.
54.221	I've traveled the whole length
54.221	and breadth of this country.
57.007	I have found no evidence
57.007	that Americans don't get irony.
59.657	It's one of those cultural myths,
62.258	"like, ""The British are reserved."""
64.48	(Laughter)
66.393	I don't know why people think this.
68.455	We've invaded every country
68.455	we've encountered.
70.966	(Laughter)
74.818	But it's not true Americans
74.818	don't get irony,
77.126	but I just want you to know
77.126	that that's what people
79.622	are saying about you behind your back.
81.456	You know, so when you leave
81.456	living rooms in Europe,
84.416	people say, thankfully,
84.416	nobody was ironic in your presence.
87.647	(Laughter)
89.058	But I knew that Americans get irony
91.619	when I came across that legislation,
91.619	"""No Child Left Behind."""
95.368	(Laughter)
97.174	Because whoever thought
97.174	of that title gets irony.
100.799	(Laughter)
102.561	Don't they?
104.043	(Applause)
109.866	Because it's leaving
109.866	millions of children behind.
113.413	Now I can see that's not a very attractive
113.413	name for legislation:
116.749	"""Millions of Children Left Behind."""
118.495	I can see that.
120.264	What's the plan?
121.485	We propose to leave
121.485	millions of children behind,
124.273	and here's how it's going to work.
126.035	And it's working beautifully.
127.445	(Laughter)
128.476	In some parts of the country,
	of high school.
133.677	In the Native American communities,
135.368	it's 80 percent of kids.
137.777	If we halved that number,
140.368	one estimate is it would create
140.368	a net gain to the U.S. economy
146.05	over 10 years,
146.05	of nearly a trillion dollars.
151.28	From an economic point of view,
152.857	this is good math, isn't it,
152.857	that we should do this?
155.789	It actually costs an enormous amount
158.138	to mop up the damage
158.138	from the dropout crisis.
162.3	But the dropout crisis
162.3	is just the tip of an iceberg.
166.029	What it doesn't count
166.029	are all the kids who are in school
168.72	but being disengaged
168.72	from it, who don't enjoy it,
172.282	who don't get any real benefit from it.
175.622	And the reason is not
175.622	that we're not spending enough money.
178.614	America spends more money on education
178.614	than most other countries.
182.103	Class sizes are smaller
182.103	than in many countries.
185.681	And there are hundreds
185.681	of initiatives every year
187.967	to try and improve education.
190.244	The trouble is, it's all going
190.244	in the wrong direction.
194.765	There are three principles
194.765	on which human life flourishes,
199.364	and they are contradicted
199.364	by the culture of education
203.375	under which most teachers have to labor
205.652	and most students have to endure.
209.207	The first is this, that human beings
209.207	are naturally different and diverse.
216.387	Can I ask you, how many of you
216.387	have got children of your own?
220.892	Okay. Or grandchildren.
223.905	How about two children or more? Right.
227.645	And the rest of you
227.645	have seen such children.
229.765	(Laughter)
232.525	Small people wandering about.
234.039	(Laughter)
235.785	I will make you a bet,
237.636	and I am confident
237.636	that I will win the bet.
239.708	If you've got two children or more,
241.551	I bet you they are completely
241.551	different from each other.
245.38	Aren't they?
247.825	(Applause)
249.751	You would never confuse them, would you?
252.354	"Like, ""Which one are you? Remind me."""
254.418	(Laughter)
257.252	"""Your mother and I need"
257.252	some color-coding system
259.689	"so we don't get confused."""
262.052	"Education under ""No Child Left Behind"""
264.995	is based on not diversity but conformity.
269.818	What schools are encouraged
269.818	to do is to find out
272.376	what kids can do across
272.376	a very narrow spectrum of achievement.
276.736	One of the effects
276.736	"of ""No Child Left Behind"""
279.428	has been to narrow the focus
279.428	onto the so-called STEM disciplines.
283.201	They're very important.
284.835	I'm not here to argue
