startsecond	text
12.481	As a matter of fact,
14.015	I was trying to think about my career
14.015	since I left the White House,
17.287	and the best example I have is a cartoon
17.287	in The New Yorker a couple of years ago.
21.583	This little boy is looking up
21.583	at his father,
23.742	"and he says, ""Daddy, when I grow up,"
23.742	"I want to be a former president."""
27.787	(Laughter)
29.477	Well, I have had a great blessing
29.477	as a former president,
33.193	because I have had an access
35.62	that very few other people
35.62	in the world have ever had
38.277	to get to know so many people
38.277	around this whole universe.
41.923	Not only am I familiar
41.923	with the 50 states in the United States,
45.545	but also my wife and I have visited
45.545	more than 145 countries in the world,
50.421	and the Carter Center has had full-time
50.421	programs in 80 nations on Earth.
54.67	And a lot of times,
54.67	when we go into a country,
56.866	we not only the meet
56.866	the king or the president,
59.076	but we also meet the villagers who live
59.076	in the most remote areas of Africa.
63.424	So our overall commitment
63.424	at the Carter Center
66.93	is to promote human rights,
68.927	and knowing the world as I do,
68.927	I can tell you without any equivocation
73.639	that the number one abuse
73.639	of human rights on Earth
77.53	is, strangely, not addressed quite often,
77.53	is the abuse of women and girls.
83.369	(Applause)
86.657	There are a couple of reasons for this
86.657	that I'll mention to begin with.
91.89	First of all is the misinterpretation
91.89	of religious scriptures, holy scriptures,
97.36	in the Bible, Old Testament,
97.36	New Testament, Quran and so forth,
100.983	and these have been misinterpreted by men
100.983	who are now in the ascendant positions
108.246	in the synagogues and the churches
108.246	and in the mosques.
110.875	And they interpret these rules
110.875	to make sure that women
114.706	are ordinarily relegated
114.706	to a secondary position
118.96	compared to men in the eyes of God.
122.558	This is a very serious problem.
122.558	It's ordinarily not addressed.
126.78	A number of years ago, in the year 2000,
128.891	I had been a Baptist,
128.891	a Southern Baptist for 70 years --
132.454	I tell you, I still teach
132.454	Sunday school every Sunday;
134.936	I'll be teaching this Sunday as well --
136.807	but the Southern Baptist Convention
136.807	in the year 2000 decided
141.222	that women should play
141.222	a secondary position,
143.823	a subservient position to men.
145.889	So they issued an edict, in effect,
148.606	that prevents women from being priests,
148.606	pastors, deacons in the church,
154.51	or chaplains in the military,
156.802	and if a woman teaches a classroom
159.96	in a Southern Baptist seminary,
162.142	they cannot teach if a boy is in the room,
165.555	because you can find verses in the Bible,
167.576	there's over 30,000 verses in the Bible,
