startsecond	text
25	On simplicity. What a great way to start.
30	First of all, I've been watching this trend
32	"where we have these books like such and such ""For Dummies."""
35	"Do you know these books, these such and such ""For Dummies?"""
37	My daughters pointed out that I'm very similar looking, so this is a bit of a problem.
41	(Laughter)
44	But I was looking online at Amazon.com for other books like this.
48	"You know, there's also something called the ""Complete Idiot's Guide?"""
51	There's a sort of business model around being stupid in some sense.
54	We like to have technology make us feel bad, for some strange reason.
57	"But I really like that, so I wrote a book called ""The Laws of Simplicity."""
61	I was in Milan last week, for the Italian launch.
64	It's kind of a book about questions, questions about simplicity.
68	Very few answers. I'm also wondering myself, what is simplicity?
71	Is it good? Is it bad? Is complexity better? I'm not sure.
75	"After I wrote ""The Laws of Simplicity,"""
77	I was very tired of simplicity, as you can imagine.
80	And so in my life, I've discovered that
82	vacation is the most important skill for any kind of over-achiever.
85	Because your companies will always take away your life,
88	but they can never take away your vacation -- in theory.
91	(Laughter)
92	So, I went to the Cape last summer to hide from simplicity,
95	and I went to the Gap, because I only have black pants.
97	So I went and bought khaki shorts or whatever,
99	"and unfortunately, their branding was all about ""Keep It Simple."""
103	(Laughter)
105	I opened up a magazine, and Visa's branding was,
107	"""Business Takes Simplicity."""
109	"I develop photographs, and Kodak said, ""Keep It Simple."""
112	So, I felt kind of weird that simplicity was sort of following me around.
115	So, I turned on the TV, and I don't watch TV very much,
118	but you know this person? This is Paris Hilton, apparently.
122	"And she has this show, ""The Simple Life."""
124	So I watched this. It's not very simple, a little bit confusing.
128	(Laughter)
130	So, I looked for a different show to watch.
132	So, I opened up this TV Guide thing,
134	"and on the E! channel, this ""Simple Life"" show is very popular."
137	They'll play it over, and over, and over.
139	(Laughter)
140	So it was traumatizing, actually.
142	So, I wanted to escape again, so I went out to my car.
147	And Cape Cod, there are idyllic roads, and all of us can drive in this room.
152	And when you drive, these signs are very important.
154	"It's a very simple sign, it says, ""road"" and ""road approaching."""
158	So I'm mostly driving along, okay, and then I saw this sign.
162	(Laughter)
164	So, I thought complexity was attacking me suddenly,
166	"so I thought, ""Ah, simplicity. Very important."""
169	"But then I thought, ""Oh, simplicity. What would that be like on a beach?"
173	"What if the sky was 41 percent gray? Wouldn't that be the perfect sky?"""
177	I mean that simplicity sky.
179	But in reality, the sky looked like this. It was a beautiful, complex sky.
184	You know, with the pinks and blues. We can't help but love complexity.
187	We're human beings: we love complex things.
189	We love relationships -- very complex. So we love this kind of stuff.
192	I'm at this place called the Media Lab.
194	Maybe some of you guys have heard of this place.
196	It's designed by I. M. Pei, one of the premier modernist architects.
200	Modernism means white box, and it's a perfect white box.
204	(Laughter)
206	And some of you guys are entrepreneurs, etc., whatever.
209	Last month, I was at Google, and, boy, that cafeteria, man.
214	You guys have things here in Silicon Valley like stock options.
217	See, in academia, we get titles, lots of titles.
221	Last year at TED, these were all my titles. I had a lot of titles.
224	I have a default title as a father of a bunch of daughters.
227	This year at TED, I'm happy to report that I have new titles,
230	in addition to my previous titles.
232	"Another ""Associate Director of Research."""
234	And this also happened, so I have five daughters now.
238	(Laughter)
239	That's my baby Reina. (Applause) Thank you.
241	And so, my life is much more complex because of the baby, actually,
244	but that's okay. We will still stay married, I think.
248	But looking way back, when I was a child --
250	you see, I grew up in a tofu factory in Seattle.
252	Many of you may not like tofu because you haven't had good tofu,
255	but tofu's a good food. It's a very simple kind of food.
257	It's very hard work to make tofu.
260	As a child, we used to wake up at 1 a.m. and work till 6 p.m., six days a week.
266	My father was kind of like Andy Grove, paranoid of the competition.
270	So often, seven days a week. Family business equals child labor.
275	We were a great model. So, I loved going to school.
279	School was great, and maybe going to school
281	helped me get to this Media Lab place, I'm not sure.
283	(Laughter)
285	Thank you.
287	But the Media Lab is an interesting place, and it's important to me
291	because as a student, I was a computer science undergrad,
293	and I discovered design later on in my life.
296	And there was this person, Muriel Cooper.
298	Who knows Muriel Cooper? Muriel Cooper?
300	Wasn't she amazing? Muriel Cooper. She was wacky.
303	And she was a TEDster, exactly, and she showed us,
307	she showed the world how to make the computer beautiful again.
310	And she's very important in my life,
312	because she's the one that told me to leave MIT and go to art school.
315	It was the best advice I ever got. So I went to art school, because of her.
319	She passed away in 1994,
321	and I was hired back to MIT to try to fill her shoes, but it's so hard.
326	This amazing person, Muriel Cooper.
328	When I was in Japan -- I went to an art school in Japan --
331	I had a nice sort of situation, because somehow I was connected to Paul Rand.
336	Some of you guys know Paul Rand,
338	the greatest graphic designer -- I'm sorry -- out there.
340	The great graphic designer Paul Rand
342	designed the IBM logo, the Westinghouse logo.
344	"He basically said, ""I've designed everything."""
347	And also Ikko Tanaka was a very important mentor in my life --
351	the Paul Rand of Japan. He designed most of the major icons of Japan,
356	like Issey Miyake's brand and also Muji.
359	When you have mentors -- and yesterday,
361	Kareem Abdul-Jabbar talked about mentors,
363	these people in your life -- the problem with mentors is that they all die.
367	This is a sad thing, but it's actually a happy thing in a way,
369	because you can remember them in their pure form.
372	I think that the mentors that we all meet sort of humanize us.
376	When you get older, and you're all freaked out, whatever,
378	the mentors calm us down.
380	And I'm grateful for my mentors, and I'm sure all of you are too.
385	Because the human thing is very hard when you're at MIT.
387	"The T doesn't stand for ""human,"" it stands for ""technology."""
390	And because of that, I always wondered about this human thing.
393	"So, I've always been Googling this word, ""human,"""
395	to find out how many hits I get.
397	"And in 2001, I had 26 million hits, and for ""computer,"""
401	because computers are against humans a bit,
403	I have 42 million hits. Let me do an Al Gore here.
406	So, if you sort of compare that, like this,
408	you'll see that computer versus human --
411	I've been tracking this for the last year --
413	computer versus human over the last year has changed.
416	It used to be kind of two to one. Now, humans are catching up.
419	Very good, us humans! We're catching up with the computers.
422	In the simplicity realm, it's also interesting.
424	So if you compare complexities to simplicity,
428	it's also catching up in a way, too.
430	So, somehow humans and simplicity are intertwined, I think.
436	I have a confession: I'm not a man of simplicity.
439	I spent my entire early career making complex stuff.
442	Lots of complex stuff.
444	I wrote computer programs to make complex graphics like this.
448	I had clients in Japan to make really complex stuff like this.
451	And I've always felt bad about it, in a sense.
454	So, I hid in a time dimension.
456	I built things in a time-graphics dimension.
459	I did this series of calendars for Shiseido.
462	This is a floral theme calendar in 1997,
465	and this is a firework calendar. So, you launch the number into space,
470	because the Japanese believe that when you see fireworks,
473	you're cooler for some reason.
475	This is why they have fireworks in the summer.
477	A very extreme culture.
480	Lastly, this is a fall-based calendar,
482	because I have so many leaves in my yard.
484	So this is the leaves in my yard, essentially.
486	And so I made a lot of these types of things.
490	I've been lucky to have been there before people made these kind of things,
493	and so I made all this kind of stuff that messes with your eyes.
496	I feel kind of bad about that.
498	Tomorrow, Paola Antonelli is speaking. I love Paola.
501	She has this show right now at MoMA,
503	where some of these early works are here on display at MoMA, on the walls.
507	If you're in New York, please go and see that.
509	But I've had a problem, because I make all this flying stuff
513	"and people say, ""Oh, I know your work."
516	"You're the guy that makes eye candy."""
518	And when you're told this, you feel kind of weird.
520	"""Eye candy"" -- sort of pejorative, don't you think?"
523	"So, I say, ""No, I make eye meat,"" instead."
525	(Laughter)
526	And eye meat is something different, something more fibrous,
529	something more powerful, perhaps. But what could that be, eye meat?
533	I've been interested in computer programs all my life, actually.
537	Computer programs are essentially trees,
539	and when you make art with a computer program, there's kind of a problem.
542	Whenever you make art with a computer program,
544	you're always on the tree, and the paradox is that
547	for excellent art, you want to be off the tree.
551	So, this is sort of a complication I've found.
554	So, to get off the tree, I began to use my old computers.
558	I took these to Tokyo in 2001 to make computer objects.
562	This is a new way to type, on my old, color Classic.
566	You can't type very much on this.
569	I also discovered that an IR mouse responds to CRT emissions
573	and starts to move by itself, so this is a self-drawing machine.
579	And also, one year, the G3 Bondi Blue thing --
582	"that caddy would come out, like, dangerous, like, ""whack,"" like that."
585	"But I thought, ""This is very interesting. What if I make like a car crash test?"""
588	So I have a crash test.
590	(Laughter)
591	And sort of measure the impact. Stuff like this are things I made,
593	just to sort of understand what these things are.
596	(Laughter)
598	Shortly after this, 9/11 happened, and I was very depressed.
601	I was concerned with contemporary art
603	that was all about piss, and sort of really sad things,
605	and so I wanted to think about something happy.
