startsecond	text
13.04	I believe big institutions
15.08	have unique potential to create change,
17.72	and I believe that we as individuals
19.72	have unique power
21.04	to influence the direction
21.04	that those institutions take.
24.72	Now, these beliefs did not
24.72	come naturally to me,
27.08	because trusting big institutions,
29.68	not really part of my family legacy.
32.64	My mother escaped North Korea
34.76	when she was 10 years old.
36.64	To do so, she had to elude
36.64	every big institution in her life:
40.68	repressive governments, occupying armies
43.56	and even armed border patrols.
46.72	Later, when she decided she wanted
46.72	to emigrate to the United States,
50.44	she had to defy an entire culture
52.52	that said the girls would never
52.52	be the best and brightest.
56.68	Only because her name
56.68	happens to sound like a boy's
59.64	was she able to finagle her way
59.64	into the government immigration exam
62.92	to come to the United States.
65.6	Because of her bravery and passion,
68	I've had all the opportunities
68	that she never did,
70.88	and that has made my story so different.
74.08	Instead of running away
74.08	from big institutions,
76.48	I've actually run toward them.
78.32	I've had the chance
78.32	over the course of my career
80.6	to work for The Wall Street Journal,
82.44	the White House
83.68	and now one of the largest
83.68	financial institutions in the world,
86.68	where I lead sustainable investing.
88.84	Now, these institutions are like tankers,
91.28	and working inside of them,
92.72	I've come to appreciate
92.72	what large wakes they can leave,
96.36	and I've become convinced
97.68	that the institution
97.68	of the global capital markets,
100.44	the nearly 290 trillion dollars
100.44	of stocks and bonds in the world,
105.36	that that may be one
105.36	of our most powerful forces
108.24	for positive social change
108.24	at our disposal,
110.84	if we ask it to be.
112.92	Now, I know some of you are thinking,
114.8	global capital markets,
114.8	positive social change,
117.32	not usually in the same sentence
117.32	or even the same paragraph.
121.16	I think many people think
121.16	of the capital markets
123.52	kind of like an ocean.
124.84	It's a vast, impersonal,
124.84	uncaring force of nature
128.68	that is not affected
128.68	by our wishes or desires.
131.36	So the best that our
131.36	little savings accounts
133.72	or retirement accounts can do
135.44	is to try to catch some waves
135.44	in the good cycles
138.04	and hope that we don't get
138.04	inundated in the turbulent ones,
140.826	but certainly our decisions on how
140.826	to steer our little retirement accounts
145.08	don't affect the tides,
146.6	don't change the shape or size
146.6	or direction of the waves.
151.8	But why is that?
153.04	Because actually,
153.04	one third of this ocean of capital
156.4	actually belongs to individuals like us,
160.04	and most of the rest
160.04	of the capital markets
162.12	is controlled by the institutions
162.12	that get their power and authority
165.36	and their capital from us,
167.16	as members, participants,
167.16	beneficiaries, shareholders or citizens.
171.32	So if we are the ultimate owners
171.32	of the capital markets,
175.24	why aren't we able
175.24	to make our voices heard?
178.36	Why can't we make some waves?
180.96	So let me ask you a different question:
182.88	did any of you buy fair trade coffee
185.12	the last time you were
185.12	at a supermarket or at Starbucks?
187.8	OK. Do any of you go to the restaurant
190.24	and order the sustainably farmed trout
192.92	instead of the miso-glazed
192.92	Chilean sea bass
195.48	that you really wish you could have?
197.96	Do any of you drive hybrid cars
