startsecond	text
13.395	I'd like to start with a simple question:
17.82	Why do the poor make
17.82	so many poor decisions?
23.672	I know it's a harsh question,
25.247	but take a look at the data.
27.236	The poor borrow more, save less,
29.103	smoke more, exercise less, drink more
31.786	and eat less healthfully.
34.192	Why?
36.271	Well, the standard explanation
37.822	was once summed up by the British
37.822	Prime Minister, Margaret Thatcher.
41.226	And she called poverty
41.226	"""a personality defect."""
44.635	(Laughter)
46.499	A lack of character, basically.
49.285	Now, I'm sure not many of you
49.285	would be so blunt.
54.317	But the idea that there's something
54.317	wrong with the poor themselves
58.191	is not restricted to Mrs. Thatcher.
61.105	Some of you may believe that the poor
61.105	should be held responsible
64.332	for their own mistakes.
66.109	And others may argue that we should
66.109	help them to make better decisions.
70.674	But the underlying assumption is the same:
74.47	there's something wrong with them.
77.877	If we could just change them,
79.759	if we could just teach them
79.759	how to live their lives,
82.275	if they would only listen.
85.053	And to be honest,
86.774	this was what I thought for a long time.
90.898	It was only a few years ago
90.898	that I discovered
93.036	that everything I thought I knew
93.036	about poverty was wrong.
98.106	It all started when I accidentally
98.106	stumbled upon a paper
100.781	by a few American psychologists.
102.413	They had traveled 8,000 miles,
102.413	all the way to India,
104.99	for a fascinating study.
107.065	And it was an experiment
107.065	with sugarcane farmers.
110.658	You should know that these farmers
110.658	collect about 60 percent
114.03	of their annual income all at once,
116.187	right after the harvest.
117.919	This means that they're relatively
117.919	poor one part of the year
121.483	and rich the other.
124.415	The researchers asked them to do
124.415	an IQ test before and after the harvest.
129.722	What they subsequently discovered
129.722	completely blew my mind.
134.979	The farmers scored much worse
134.979	on the test before the harvest.
140.277	The effects of living
140.277	in poverty, it turns out,
142.601	correspond to losing 14 points of IQ.
145.993	Now, to give you an idea,
147.886	that's comparable
147.886	to losing a night's sleep
150.351	or the effects of alcoholism.
154.505	A few months later,
154.505	I heard that Eldar Shafir,
156.788	a professor at Princeton University
156.788	and one of the authors of this study,
160.359	was coming over to Holland, where I live.
162.702	So we met up in Amsterdam
164.128	to talk about his revolutionary
164.128	new theory of poverty.
168.21	And I can sum it up in just two words:
171.235	scarcity mentality.
174.467	It turns out that people
174.467	behave differently
176.645	when they perceive a thing to be scarce.
179.155	And what that thing is
179.155	doesn't much matter --
181.394	whether it's not enough time,
181.394	money or food.
184.9	You all know this feeling,
186.582	when you've got too much to do,
188.569	or when you've put off breaking for lunch
190.609	and your blood sugar takes a dive.
192.296	This narrows your focus
192.296	to your immediate lack --
195.148	to the sandwich you've got to have now,
197.182	the meeting that's starting
197.182	in five minutes
199.468	or the bills that have
199.468	to be paid tomorrow.
202.868	So the long-term perspective
202.868	goes out the window.
207.655	You could compare it to a new computer
210.21	that's running 10 heavy programs at once.
213.021	It gets slower and slower, making errors.
215.818	Eventually, it freezes --
217.664	not because it's a bad computer,
219.794	but because it has too much to do at once.
223.279	The poor have the same problem.
226.654	They're not making dumb decisions
226.654	because they are dumb,
229.468	but because they're living in a context
231.414	in which anyone would make dumb decisions.
234.362	So suddenly I understood
237.334	why so many of our anti-poverty
237.334	programs don't work.
242.467	Investments in education, for example,
242.467	are often completely ineffective.
