startsecond	text
12.599	I've learned some of
12.599	my most important life lessons
17.38	from drug dealers
19.879	and gang members
22.25	and prostitutes,
24.503	and I've had some of my most
24.503	profound theological conversations
30.13	not in the hallowed halls of a seminary
33.704	but on a street corner
36.12	on a Friday night, at 1 a.m.
39.701	That's a little unusual, since I am
39.701	a Baptist minister, seminary-trained,
45.872	and pastored a church for over 20 years,
50.226	but it's true.
52.594	It came as a part of my participation
55.264	in a public safety
55.264	crime reduction strategy
59.49	that saw a 79 percent reduction
59.49	in violent crime
63.247	over an eight-year period in a major city.
67.385	But I didn't start out wanting to be
69.242	a part of somebody's
69.242	crime reduction strategy.
73.335	I was 25, had my first church.
76.22	If you would have asked me
76.22	what my ambition was,
78.6	I would have told you
78.6	I wanted to be a megachurch pastor.
82.918	I wanted a 15-, 20,000-member church.
86.865	I wanted my own television ministry.
89.675	I wanted my own clothing line.
92.391	(Laughter)
93.747	I wanted to be your long distance carrier.
95.888	You know, the whole nine yards.
97.732	(Laughter)
100.425	After about a year of pastoring,
103.478	my membership went up about 20 members.
107.1	So megachurchdom was way down the road.
110.73	But seriously, if you'd have said,
110.73	"""What is your ambition?"""
113.554	I would have said just to be
113.554	a good pastor,
115.575	to be able to be with people
115.575	through all the passages of life,
119.94	to preach messages that would have
119.94	an everyday meaning for folks,
124.213	and in the African-American tradition,
127.115	to be able to represent
127.115	the community that I serve.
131.265	But there was something else
131.265	that was happening in my city
136.333	and in the entire metro area,
138.364	and in most metro areas
138.364	in the United States,
142.125	and that was the homicide rate
142.125	started to rise precipitously.
147.534	And there were young people
147.534	who were killing each other
150.101	for reasons that I thought
150.101	were very trivial,
152.748	like bumping into someone
152.748	in a high school hallway,
157.652	and then after school,
157.652	shooting the person.
160.921	Someone with the wrong color shirt on,
164.427	on the wrong street corner
164.427	at the wrong time.
168.63	And something needed
168.63	to be done about that.
172.548	It got to the point where it started
172.548	to change the character of the city.
176.872	You could go to any housing project,
179.1	for example, like the one that was
179.1	down the street from my church,
182.259	and you would walk in,
182.259	and it would be like a ghost town,
185.161	because the parents wouldn't allow
185.161	their kids to come out and play,
188.783	even in the summertime,
188.783	because of the violence.
191.847	You would listen in the neighborhoods
191.847	on any given night,
194.599	and to the untrained ear,
194.599	it sounded like fireworks,
197.827	but it was gunfire.
199.207	You'd hear it almost every night,
199.207	when you were cooking dinner,
203.04	telling your child a bedtime story,
203.04	or just watching TV.
208.2	And you can go to any emergency
208.2	room at any hospital,
212.994	and you would see lying on gurneys
216.123	young black and Latino men
216.123	shot and dying.
220.697	And I was doing funerals,
222.532	but not of the venerated matriarchs
222.532	and patriarchs who'd lived a long life
226.99	and there's a lot to say.
229.892	I was doing funerals of 18-year-olds,
234.71	and 16-year-olds,
236.614	and I was standing in a church
236.614	or at a funeral home
241.281	struggling to say something
243.405	that would make some meaningful impact.
247.3	And so while my colleagues were building
247.3	these cathedrals great and tall
253.29	and buying property outside of the city
256.628	and moving their congregations out
259.198	so that they could create
259.198	or recreate their cities of God,
264.337	the social structures in the inner cities
267.494	were sagging under the weight
267.494	of all of this violence.
271.411	And so I stayed, because somebody
271.411	needed to do something,
274.298	and so I had looked at what I had
