startsecond	text
12.58	I was born and raised in Dakar, Senegal,
15.74	and through a combination
15.74	of accidents and cosmic justice,
20.78	became a chef in the US.
22.7	(Laughter)
24.5	When I first arrived in New York,
26.94	I began working in these restaurants --
26.94	different types of restaurants --
30.42	from French bistro to Italian,
33.14	global ethnic to modern American.
36.1	At the time,
37.38	New York was already well-established
37.38	as a food capital of the world.
41.9	However ...
44.62	with the exception of a few West African
44.62	and Ethiopian mom-and-pop eateries,
50.38	there was no such thing
50.38	as African cuisine in the entire city.
55.58	Early in my life,
57.1	I was influenced
57.1	by Senegal's first president,
60.1	Léopold Sédar Senghor,
62.82	"nicknamed, ""the poet president,"""
65.06	who talked about a new humanism,
67.42	a universal civilization,
68.82	in which all cultures would come together
68.82	around a communal table as equals,
74.86	each bringing its own beautiful
74.86	contribution to share.
79.5	"He called it ""the rendezvous"
79.5	"of giving and receiving."""
84.02	That concept resonated with me,
86.34	and it has guided my career path.
89.3	After years of working in restaurants,
92.42	I yearned for my work
92.42	to have a deeper impact
95.58	that would go beyond
95.58	the last meal I had served.
100.42	I wanted to give back, both to New York --
103.38	the city that allowed me
103.38	the opportunity to follow my calling --
107.46	but also to my origins
107.46	and ancestors in Senegal.
112.46	I wanted to contribute
112.46	to that universal civilization
115.42	Senghor had described.
117.7	But I didn't know how to make
117.7	a measurable impact
120.3	as a cook and writer.
123.5	While I was writing my first cookbook,
126.82	I often traveled to different regions
126.82	of Senegal for research.
132.38	During one of those trips,
134.54	in the remote, southeast
134.54	region of Kédougou
138.26	I rediscovered
138.26	an ancient grain called fonio
142.5	that had all but disappeared
142.5	from the urban Senegalese diet.
148.5	It turns out that fonio
148.5	had been cultivated
151.38	for more than five thousand years
153.98	and is probably the oldest
153.98	cultivated cereal in Africa.
158.58	Once a popular grain
158.58	on much of the continent,
162.82	fonio was grown
162.82	all the way to ancient Egypt,
166.5	where archaeologists found grains
166.5	inside pyramids' burial grounds.
172.7	Today it is mostly cultivated
172.7	in the western part of the Sahel region,
178.46	from Senegal to Mali,
180.78	Burkina Faso,
182.1	Togo, Nigeria.
184.9	The Sahel region is that semiarid area
184.9	south of the Sahara desert
190.78	that extends from the Atlantic
190.78	in the west to the Red Sea in the east.
197.38	I became more interested in this grain
201.1	that was deemed worth taking
201.1	to the afterlife by early Egyptians.
206.94	As I continued my research,
209.1	I found out that fonio was actually --
213.98	wherever it was cultivated --
215.98	there was always some myth,
