startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
15.693	I want you to imagine this for a moment.
18.464	Two men, Rahul and Rajiv,
21.359	living in the same neighborhood,
23.217	from the same educational background, similar occupation,
26.512	and they both turn up at their local accident emergency
29.28	complaining of acute chest pain.
32.096	Rahul is offered a cardiac procedure,
35.22	but Rajiv is sent home.
38.031	What might explain the difference in the experience
40.541	of these two nearly identical men?
43.793	Rajiv suffers from a mental illness.
47.28	The difference in the quality of medical care
50.379	received by people with mental illness is one of the reasons
53.24	why they live shorter lives
55.155	than people without mental illness.
56.738	Even in the best-resourced countries in the world,
59.408	this life expectancy gap is as much as 20 years.
64.178	In the developing countries of the world, this gap
66.103	is even larger.
68.728	But of course, mental illnesses can kill in more direct ways
71.587	as well. The most obvious example is suicide.
74.948	It might surprise some of you here, as it did me,
77.603	when I discovered that suicide is at the top of the list
80.54	of the leading causes of death in young people
83.105	in all countries in the world,
84.753	including the poorest countries of the world.
88.145	But beyond the impact of a health condition
90.979	on life expectancy, we're also concerned
93.349	about the quality of life lived.
96.043	Now, in order for us to examine the overall impact
98.292	of a health condition both on life expectancy
100.665	as well as on the quality of life lived, we need to use
103.823	a metric called the DALY,
105.209	which stands for a Disability-Adjusted Life Year.
109.496	Now when we do that, we discover some startling things
112.017	about mental illness from a global perspective.
114.839	We discover that, for example, mental illnesses are
118.103	amongst the leading causes of disability around the world.
122.691	Depression, for example, is the third-leading cause
125.426	of disability, alongside conditions such as
128.398	diarrhea and pneumonia in children.
131.75	When you put all the mental illnesses together,
133.854	they account for roughly 15 percent
136.116	of the total global burden of disease.
139.322	Indeed, mental illnesses are also very damaging
143.833	to people's lives, but beyond just the burden of disease,
149.278	let us consider the absolute numbers.
151.99	The World Health Organization estimates
154.049	that there are nearly four to five hundred million people
157.154	living on our tiny planet
159.337	who are affected by a mental illness.
160.998	Now some of you here
162.717	look a bit astonished by that number,
165.315	but consider for a moment the incredible diversity
167.808	of mental illnesses, from autism and intellectual disability
170.962	in childhood, through to depression and anxiety,
173.643	substance misuse and psychosis in adulthood,
175.924	all the way through to dementia in old age,
177.56	and I'm pretty sure that each and every one us
180.514	present here today can think of at least one person,
183.866	at least one person, who's affected by mental illness
187.188	in our most intimate social networks.
191.619	I see some nodding heads there.
194.824	But beyond the staggering numbers,
197.794	what's truly important from a global health point of view,
200.803	what's truly worrying from a global health point of view,
203.348	is that the vast majority of these affected individuals
206.516	do not receive the care
208.525	that we know can transform their lives, and remember,
210.991	we do have robust evidence that a range of interventions,
214.052	medicines, psychological interventions,
216.504	and social interventions, can make a vast difference.
219.992	And yet, even in the best-resourced countries,
222.243	for example here in Europe, roughly 50 percent
225.178	of affected people don't receive these interventions.
228.295	In the sorts of countries I work in,
230.612	that so-called treatment gap
232.762	approaches an astonishing 90 percent.
237.649	It isn't surprising, then, that if you should speak
240.861	to anyone affected by a mental illness,
243.292	the chances are that you will hear stories
246.104	of hidden suffering, shame and discrimination
250.154	in nearly every sector of their lives.
253.103	But perhaps most heartbreaking of all
255.813	are the stories of the abuse
258.502	of even the most basic human rights,
261.034	such as the young woman shown in this image here
263.891	that are played out every day,
265.955	sadly, even in the very institutions that were built to care
269.899	for people with mental illnesses, the mental hospitals.
273.734	It's this injustice that has really driven my mission
276.762	to try to do a little bit to transform the lives
279.154	of people affected by mental illness, and a particularly
281.9	critical action that I focused on is to bridge the gulf
285.749	between the knowledge we have that can transform lives,
288.535	the knowledge of effective treatments, and how we actually
290.977	use that knowledge in the everyday world.
294.399	And an especially important challenge that I've had to face
297.558	is the great shortage of mental health professionals,
300.483	such as psychiatrists and psychologists,
302.155	particularly in the developing world.
