startsecond	text
15.26	I would like to tell you all
17.26	that you are all actually cyborgs,
21.26	but not the cyborgs that you think.
23.26	You're not RoboCop, and you're not Terminator,
26.26	but you're cyborgs every time you look at a computer screen
28.26	or use one of your cell phone devices.
31.26	So what's a good definition for cyborg?
33.26	"Well, traditional definition is ""an organism"
35.26	to which exogenous components have been added
37.26	"for the purpose of adapting to new environments."""
39.26	That came from a 1960 paper on space travel,
42.26	because, if you think about it, space is pretty awkward.
44.26	People aren't supposed to be there.
46.26	But humans are curious, and they like to add things to their bodies
49.26	so they can go to the Alps one day
51.26	and then become a fish in the sea the next.
53.26	So let's look at the concept of traditional anthropology.
56.26	Somebody goes to another country,
58.26	"says, ""How fascinating these people are, how interesting their tools are,"
61.26	"how curious their culture is."""
63.26	And then they write a paper, and maybe a few other anthropologists read it,
66.26	and we think it's very exotic.
68.26	Well, what's happening
71.26	is that we've suddenly found a new species.
74.26	I, as a cyborg anthropologist, have suddenly said,
76.26	"""Oh, wow. Now suddenly we're a new form of Homo sapiens,"
79.26	and look at these fascinating cultures,
81.26	and look at these curious rituals
83.26	that everybody's doing around this technology.
85.26	"They're clicking on things and staring at screens."""
88.26	Now there's a reason why I study this,
90.26	versus traditional anthropology.
92.26	And the reason is that tool use,
94.26	in the beginning -- for thousands and thousands of years,
97.26	everything has been a physical modification of self.
100.26	It has helped us to extend our physical selves,
102.26	go faster, hit things harder,
104.26	and there's been a limit on that.
106.26	But now what we're looking at is not an extension of the physical self,
109.26	but an extension of the mental self,
111.26	and because of that, we're able to travel faster,
113.26	communicate differently.
115.26	And the other thing that happens
117.26	is that we're all carrying around little Mary Poppins technology.
120.26	We can put anything we want into it, and it doesn't get heavier,
123.26	and then we can take anything out.
125.26	What does the inside of your computer actually look like?
127.26	Well, if you print it out, it looks like a thousand pounds of material
130.26	that you're carrying around all the time.
132.26	And if you actually lose that information,
135.26	it means that you suddenly have this loss in your mind,
138.26	that you suddenly feel like something's missing,
141.26	except you aren't able to see it, so it feels like a very strange emotion.
144.26	The other thing that happens is that you have a second self.
147.26	Whether you like it or not, you're starting to show up online,
149.26	and people are interacting with your second self
151.26	when you're not there.
153.26	And so you have to be careful
155.26	about leaving your front lawn open,
157.26	which is basically your Facebook wall,
159.26	so that people don't write on it in the middle of the night --
161.26	because it's very much the equivalent.
163.26	And suddenly we have to start to maintain our second self.
166.26	You have to present yourself in digital life
168.26	in a similar way that you would in your analog life.
171.26	So, in the same way that you wake up, take a shower and get dressed,
174.26	you have to learn to do that for your digital self.
176.26	And the problem is that a lot of people now,
178.26	especially adolescents,
180.26	have to go through two adolescences.
182.26	They have to go through their primary one, that's already awkward,
185.26	and then they go through their second self's adolescence,
187.26	and that's even more awkward
189.26	because there's an actual history
192.26	of what they've gone through online.
194.26	And anybody coming in new to technology
196.26	is an adolescent online right now,
198.26	and so it's very awkward,
200.26	and it's very difficult for them to do those things.
203.26	So when I was little, my dad would sit me down at night and he would say,
205.26	"""I'm going to teach you about time and space in the future."""
207.26	"And I said, ""Great."""
209.26	"And he said one day, ""What's the shortest distance between two points?"""
211.26	"And I said, ""Well, that's a straight line. You told me that yesterday."""
214.26	I thought I was very clever.
216.26	"He said, ""No, no, no. Here's a better way."""
219.26	He took a piece of paper,
221.26	drew A and B on one side and the other
223.26	and folded them together so where A and B touched.
226.26	"And he said, ""That is the shortest distance between two points."""
229.26	"And I said, ""Dad, dad, dad, how do you do that?"""
231.26	"He said, ""Well, you just bend time and space,"
233.26	it takes an awful lot of energy,
235.26	"and that's just how you do it."""
237.26	"And I said, ""I want to do that."""
239.26	"And he said, ""Well, okay."""
241.26	And so, when I went to sleep for the next 10 or 20 years,
244.26	I was thinking at night,
246.26	"""I want to be the first person to create a wormhole,"
248.26	to make things accelerate faster.
250.26	"And I want to make a time machine."""
252.26	I was always sending messages to my future self
254.26	using tape recorders.
259.26	But then what I realized when I went to college
261.26	is that technology doesn't just get adopted
263.26	because it works.
265.26	It gets adopted because people use it
267.26	and it's made for humans.
269.26	So I started studying anthropology.
271.26	And when I was writing my thesis on cell phones,
273.26	I realized that everyone was carrying around wormholes in their pockets.
276.26	They weren't physically transporting themselves;
278.26	they were mentally transporting themselves.
280.26	They would click on a button,
282.26	and they would be connected as A to B immediately.
285.26	"And I thought, ""Oh, wow. I found it. This is great."""
287.26	So over time, time and space
