startsecond	text
18.33	I'm here today, as June said,
20.33	to talk about a project
22.33	that my twin sister and I have been doing for the past three and half years.
26.33	We're crocheting a coral reef.
29.33	And it's a project that we've actually
32.33	been now joined by hundreds of people around the world,
35.33	who are doing it with us. Indeed thousands of people
38.33	have actually been involved in this project,
40.33	in many of its different aspects.
42.33	It's a project that now reaches across three continents,
45.33	and its roots go into the fields of mathematics,
49.33	marine biology, feminine handicraft
52.33	and environmental activism.
55.33	It's true.
57.33	It's also a project
59.33	that in a very beautiful way,
61.33	the development of this
63.33	has actually paralleled the evolution of life on earth,
67.33	which is a particularly lovely thing to be saying
69.33	right here in February 2009 --
71.33	which, as one of our previous speakers told us,
73.33	is the 200th anniversary
75.33	of the birth of Charles Darwin.
77.33	All of this I'm going to get to in the next 18 minutes, I hope.
81.33	But let me first begin by showing you
83.33	some pictures of what this thing looks like.
86.33	Just to give you an idea of scale,
88.33	that installation there is about six feet across,
91.33	and the tallest models are about two or three feet high.
95.33	This is some more images of it.
97.33	That one on the right is about five feet high.
99.33	The work involves hundreds of different crochet models.
103.33	And indeed there are now thousands and thousands of models that people
106.33	have contributed all over the world as part of this.
109.33	The totality of this project
111.33	involves tens of thousands of hours
113.33	of human labor --
117.33	On the right hand side, that bit there is part of an installation
120.33	that is about 12 feet long.
122.33	My sister and I started this project in 2005
125.33	because in that year, at least in the science press,
127.33	there was a lot of talk about global warming,
130.33	and the effect that global warming was having on coral reefs.
133.33	Corals are very delicate organisms,
135.33	and they are devastated by any rise in sea temperatures.
138.33	It causes these vast bleaching events
140.33	that are the first signs of corals of being sick.
143.33	And if the bleaching doesn't go away --
145.33	if the temperatures don't go down -- reefs start to die.
148.33	A great deal of this has been happening in the Great Barrier Reef,
151.33	particularly in coral reefs all over the world.
153.33	This is our invocation in crochet of a bleached reef.
157.33	We have a new organization together called The Institute for Figuring,
160.33	which is a little organization we started
162.33	to promote, to do projects about the
164.33	aesthetic and poetic dimensions of science and mathematics.
167.33	And I went and put a little announcement up on our site,
170.33	asking for people to join us in this enterprise.
172.33	To our surprise, one of the first people who called
175.33	was the Andy Warhol Museum.
177.33	And they said they were having an exhibition
179.33	about artists' response to global warming,
181.33	and they'd like our coral reef to be part of it.
183.33	"I laughed and said, ""Well we've only just started it,"
185.33	"you can have a little bit of it."""
187.33	So in 2007 we had an exhibition,
190.33	a small exhibition of this crochet reef.
192.33	And then some people in Chicago came along and they said,
194.33	"""In late 2007, the theme of the Chicago Humanities Festival is"
199.33	global warming. And we've got this 3,000 square-foot gallery
202.33	"and we want you to fill it with your reef."""
205.33	"And I, naively by this stage, said, ""Oh, yes, sure."""
208.33	"Now I say ""naively"" because actually"
210.33	my profession is as a science writer.
212.33	What I do is I write books about the cultural history of physics.
215.33	I've written books about the history of space,
217.33	the history of physics and religion,
219.33	and I write articles for people like the New York Times and the L.A. Times.
222.33	So I had no idea what it meant to fill a 3,000 square-foot gallery.
226.33	So I said yes to this proposition.
228.33	And I went home, and I told my sister Christine.
230.33	And she nearly had a fit
232.33	because Christine is a professor at one of
234.33	L.A.'s major art colleges, CalArts,
237.33	and she knew exactly what it meant to fill a 3,000 square-foot gallery.
240.33	She thought I'd gone off my head.
243.33	But she went into crochet overdrive.
245.33	And to cut a long story short, eight months later
247.33	we did fill the Chicago Cultural Center's
250.33	3,000 square foot gallery.
252.33	By this stage the project had taken on
254.33	a viral dimension of its own,
256.33	which got completely beyond us.
258.33	The people in Chicago decided
260.33	that as well as exhibiting our reefs, what they wanted to do
263.33	was have the local people there make a reef.
265.33	So we went and taught the techniques. We did workshops and lectures.
268.33	And the people in Chicago made a reef of their own.
271.33	And it was exhibited alongside ours.
273.33	There were hundreds of people involved in that.
275.33	We got invited to do the whole thing
278.33	in New York, and in London,
280.33	and in Los Angeles.
282.33	In each of these cities, the local citizens,
284.33	hundreds and hundreds of them, have made a reef.
286.33	And more and more people get involved in this,
289.33	most of whom we've never met.
291.33	So the whole thing has sort of morphed
293.33	into this organic, ever-evolving creature,
295.33	that's actually gone way beyond Christine and I.
299.33	Now some of you are sitting here thinking,
302.33	"""What planet are these people on?"
304.33	Why on earth are you crocheting a reef?
307.33	Woolenness and wetness aren't exactly
309.33	two concepts that go together.
311.33	Why not chisel a coral reef out of marble?
313.33	"Cast it in bronze."""
315.33	But it turns out there is a very good reason
317.33	why we are crocheting it
319.33	because many organisms in coral reefs
321.33	have a very particular kind of structure.
323.33	The frilly crenulated forms that you see
325.33	in corals, and kelps, and sponges and nudibranchs,
328.33	is a form of geometry known as hyperbolic geometry.
331.33	And the only way that mathematicians know
334.33	how to model this structure
336.33	is with crochet. It happens to be a fact.
338.33	It's almost impossible to model this structure any other way,
341.33	and it's almost impossible to do it on computers.
344.33	So what is this hyperbolic geometry
346.33	that corals and sea slugs embody?
349.33	The next few minutes is, we're all going to get raised up
352.33	to the level of a sea slug.
354.33	(Laughter)
355.33	This sort of geometry revolutionized mathematics
358.33	when it was first discovered in the 19th century.
361.33	But not until 1997 did mathematicians actually understand
364.33	how they could model it.
366.33	In 1997 a mathematician
368.33	at Cornell, Daina Taimina,
370.33	made the discovery that this structure
372.33	could actually be done in knitting and crochet.
374.33	The first one she did was knitting.
376.33	But you get too many stitches on the needle. So she quickly realized
378.33	crochet was the better thing.
380.33	But what she was doing was actually making a model
383.33	of a mathematical structure, that many mathematicians
385.33	had thought it was actually impossible to model.
388.33	And indeed they thought that anything like this structure
390.33	was impossible per se.
392.33	Some of the best mathematicians spent hundreds of years
394.33	trying to prove that this structure was impossible.
397.33	So what is this impossible hyperbolic structure?
400.33	Before hyperbolic geometry, mathematicians knew
402.33	about two kinds of space:
404.33	Euclidean space, and spherical space.
407.33	And they have different properties.
409.33	Mathematicians like to characterize things by being formalist.
412.33	You all have a sense of what a flat space is, Euclidean space is.
416.33	But mathematicians formalize this in a particular way.
419.33	And what they do is, they do it through the concept
421.33	of parallel lines.
423.33	So here we have a line and a point outside the line.
426.33	"And Euclid said, ""How can I define parallel lines?"
429.33	I ask the question, how many lines can I draw through
432.33	"the point but never meet the original line?"""
434.33	And you all know the answer. Does someone want to shout it out?
437.33	One. Great. Okay.
439.33	That's our definition of a parallel line.
441.33	It's a definition really of Euclidean space.
444.33	But there is another possibility that you all know of:
446.33	spherical space.
448.33	Think of the surface of a sphere --
450.33	just like a beach ball, the surface of the Earth.
452.33	I have a straight line on my spherical surface.
455.33	And I have a point outside the line. How many straight lines
457.33	can I draw through the point
459.33	but never meet the original line?
461.33	What do we mean to talk about
463.33	a straight line on a curved surface?
466.33	Now mathematicians have answered that question.
469.33	They've understood there is a generalized concept
471.33	of straightness, it's called a geodesic.
473.33	And on the surface of a sphere,
475.33	a straight line is the biggest possible circle you can draw.
478.33	So it's like the equator or the lines of longitude.
482.33	So we ask the question again,
484.33	"""How many straight lines can I draw through the point,"
486.33	"but never meet the original line?"""
488.33	Does someone want to guess?
491.33	Zero. Very good.
493.33	Now mathematicians thought that was the only alternative.
495.33	It's a bit suspicious isn't it? There is two answers to the question so far,
498.33	Zero and one.
500.33	Two answers? There may possibly be a third alternative.
502.33	To a mathematician if there are two answers,
504.33	and the first two are zero and one,
506.33	there is another number that immediately suggests itself
508.33	as the third alternative.
510.33	Does anyone want to guess what it is?
513.33	Infinity. You all got it right. Exactly.
516.33	There is, there's a third alternative.
518.33	This is what it looks like.
520.33	There's a straight line, and there is an infinite number of lines
523.33	that go through the point and never meet the original line.
525.33	This is the drawing.
527.33	This nearly drove mathematicians bonkers
529.33	because, like you, they're sitting there feeling bamboozled.
532.33	Thinking, how can that be? You're cheating. The lines are curved.
535.33	But that's only because I'm projecting it onto a
537.33	flat surface.
539.33	Mathematicians for several hundred years
541.33	had to really struggle with this.
543.33	How could they see this?
545.33	What did it mean to actually have a physical model
548.33	that looked like this?
550.33	It's a bit like this: imagine that we'd only ever encountered Euclidean space.
553.33	Then our mathematicians come along
555.33	"and said, ""There's this thing called a sphere,"
557.33	"and the lines come together at the north and south pole."""
559.33	But you don't know what a sphere looks like.
561.33	"And someone that comes along and says, ""Look here's a ball."""
564.33	"And you go, ""Ah! I can see it. I can feel it."
566.33	"I can touch it. I can play with it."""
569.33	And that's exactly what happened
571.33	when Daina Taimina
573.33	in 1997, showed that you could crochet models
577.33	in hyperbolic space.
579.33	Here is this diagram in crochetness.
582.33	I've stitched Euclid's parallel postulate on to the surface.
586.33	And the lines look curved.
588.33	But look, I can prove to you that they're straight
591.33	because I can take any one of these lines,
593.33	and I can fold along it.
596.33	And it's a straight line.
598.33	So here, in wool,
601.33	through a domestic feminine art,
603.33	is the proof that the most famous postulate
605.33	in mathematics is wrong.
608.33	(Applause)
614.33	And you can stitch all sorts of mathematical
616.33	theorems onto these surfaces.
619.33	The discovery of hyperbolic space ushered in the field of mathematics
622.33	that is called non-Euclidean geometry.
624.33	And this is actually the field of mathematics
626.33	that underlies general relativity
628.33	and is actually ultimately going to show us
630.33	about the shape of the universe.
632.33	So there is this direct line
