id	name	count	talkid
7	'Funny'	19645	iG9CE55wbtY
1	'Beautiful'	4573	iG9CE55wbtY
9	'Ingenious'	6073	iG9CE55wbtY
3	'Courageous'	3253	iG9CE55wbtY
11	'Longwinded'	387	iG9CE55wbtY
2	'Confusing'	242	iG9CE55wbtY
8	'Informative'	7346	iG9CE55wbtY
22	'Fascinating'	10581	iG9CE55wbtY
21	'Unconvincing'	300	iG9CE55wbtY
24	'Persuasive'	10704	iG9CE55wbtY
23	'Jaw-dropping'	4439	iG9CE55wbtY
25	'OK'	1174	iG9CE55wbtY
26	'Obnoxious'	209	iG9CE55wbtY
10	'Inspiring'	24924	iG9CE55wbtY
7	'Funny'	544	rDiGYuQicpA
3	'Courageous'	139	rDiGYuQicpA
2	'Confusing'	62	rDiGYuQicpA
1	'Beautiful'	58	rDiGYuQicpA
21	'Unconvincing'	258	rDiGYuQicpA
11	'Longwinded'	113	rDiGYuQicpA
8	'Informative'	443	rDiGYuQicpA
10	'Inspiring'	413	rDiGYuQicpA
22	'Fascinating'	132	rDiGYuQicpA
9	'Ingenious'	56	rDiGYuQicpA
24	'Persuasive'	268	rDiGYuQicpA
23	'Jaw-dropping'	116	rDiGYuQicpA
26	'Obnoxious'	131	rDiGYuQicpA
25	'OK'	203	rDiGYuQicpA
7	'Funny'	964	NEjZt0y6OOw
3	'Courageous'	45	NEjZt0y6OOw
9	'Ingenious'	183	NEjZt0y6OOw
1	'Beautiful'	60	NEjZt0y6OOw
21	'Unconvincing'	104	NEjZt0y6OOw
11	'Longwinded'	78	NEjZt0y6OOw
8	'Informative'	395	NEjZt0y6OOw
10	'Inspiring'	230	NEjZt0y6OOw
22	'Fascinating'	166	NEjZt0y6OOw
2	'Confusing'	27	NEjZt0y6OOw
25	'OK'	146	NEjZt0y6OOw
24	'Persuasive'	230	NEjZt0y6OOw
23	'Jaw-dropping'	54	NEjZt0y6OOw
26	'Obnoxious'	142	NEjZt0y6OOw
3	'Courageous'	760	gQ-cZRmHfs4
1	'Beautiful'	291	gQ-cZRmHfs4
2	'Confusing'	32	gQ-cZRmHfs4
7	'Funny'	59	gQ-cZRmHfs4
9	'Ingenious'	105	gQ-cZRmHfs4
21	'Unconvincing'	36	gQ-cZRmHfs4
11	'Longwinded'	53	gQ-cZRmHfs4
8	'Informative'	380	gQ-cZRmHfs4
10	'Inspiring'	1070	gQ-cZRmHfs4
22	'Fascinating'	132	gQ-cZRmHfs4
24	'Persuasive'	460	gQ-cZRmHfs4
23	'Jaw-dropping'	230	gQ-cZRmHfs4
26	'Obnoxious'	35	gQ-cZRmHfs4
25	'OK'	85	gQ-cZRmHfs4
9	'Ingenious'	3202	RUwS1uAdUcI
7	'Funny'	1390	RUwS1uAdUcI
1	'Beautiful'	942	RUwS1uAdUcI
3	'Courageous'	318	RUwS1uAdUcI
11	'Longwinded'	110	RUwS1uAdUcI
2	'Confusing'	72	RUwS1uAdUcI
21	'Unconvincing'	67	RUwS1uAdUcI
8	'Informative'	5433	RUwS1uAdUcI
10	'Inspiring'	2893	RUwS1uAdUcI
22	'Fascinating'	4606	RUwS1uAdUcI
23	'Jaw-dropping'	3736	RUwS1uAdUcI
24	'Persuasive'	2542	RUwS1uAdUcI
25	'OK'	248	RUwS1uAdUcI
26	'Obnoxious'	61	RUwS1uAdUcI
7	'Funny'	1102	Cpc-t-Uwv1I
3	'Courageous'	721	Cpc-t-Uwv1I
21	'Unconvincing'	377	Cpc-t-Uwv1I
2	'Confusing'	301	Cpc-t-Uwv1I
1	'Beautiful'	706	Cpc-t-Uwv1I
9	'Ingenious'	397	Cpc-t-Uwv1I
11	'Longwinded'	285	Cpc-t-Uwv1I
8	'Informative'	1038	Cpc-t-Uwv1I
10	'Inspiring'	5211	Cpc-t-Uwv1I
22	'Fascinating'	1350	Cpc-t-Uwv1I
24	'Persuasive'	2423	Cpc-t-Uwv1I
25	'OK'	441	Cpc-t-Uwv1I
23	'Jaw-dropping'	669	Cpc-t-Uwv1I
26	'Obnoxious'	335	Cpc-t-Uwv1I
3	'Courageous'	477	OtIyx687ytk
7	'Funny'	2484	OtIyx687ytk
9	'Ingenious'	320	OtIyx687ytk
21	'Unconvincing'	225	OtIyx687ytk
1	'Beautiful'	277	OtIyx687ytk
2	'Confusing'	72	OtIyx687ytk
8	'Informative'	226	OtIyx687ytk
10	'Inspiring'	438	OtIyx687ytk
22	'Fascinating'	316	OtIyx687ytk
11	'Longwinded'	193	OtIyx687ytk
24	'Persuasive'	311	OtIyx687ytk
25	'OK'	308	OtIyx687ytk
26	'Obnoxious'	290	OtIyx687ytk
23	'Jaw-dropping'	61	OtIyx687ytk
9	'Ingenious'	195	NA
1	'Beautiful'	98	NA
11	'Longwinded'	26	NA
